,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/96-constitution-rd-meadowbank-nsw-2114-14515367,"96 Constitution Rd, Meadowbank",3,1,1,$1.19M,$1.79M,$575/w,$650/w,House 1983 Residential - A ,27 Jul 2020 Sold ,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2-macpherson-st-meadowbank-nsw-2114-14537972,"2 Macpherson St, Meadowbank",3,1,2,$1.50M,$1.60M,$500/w,$575/w,House 1980 657m2 Residential - A 1/327005 ,16 Oct 2018 Sold ,657m2,23 Feb 2016 Rented $510,15 Feb 2016 Listed for Rent $510 / Wk,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-stone-st-meadowbank-nsw-2114-13051854,"4 Stone St, Meadowbank",3,2,2,$1.40M,$1.50M,$575/w,$650/w,House 1990 282m2 Residential - A 2/DP285508 ,06 Apr 2018 Sold ,282m2,"12 Mar 2018 Listed for Sale Guide $1,500,000",10 Sep 1998 Sold $320k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1606-13-angas-st-meadowbank-nsw-2114-19722354,"1606/13 Angas St, Meadowbank",2,2,1,$700k,$750k,$500/w,$575/w,House 2015 111m2 6528m2 ,09 Feb 2018 Sold $760k,6528m2,23 Aug 2016 Sold $168k,24 Apr 2015 Sold $670k,111m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-11-bay-dr-meadowbank-nsw-2114-2551350,"8/11 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 77m2 1160m2 Residential - A 164/SP79422 ,08 Nov 2017 Sold $617k,1160m2,02 Aug 2017 Listed for Sale UNDER CONTRACT,12 Feb 2008 Sold $403k,77m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-stone-st-meadowbank-nsw-2114-19461156,"6 Stone St, Meadowbank",3,1,1,$1.40M,$1.50M,$500/w,$575/w,House 1915 85m2 315m2 Residential - A 3/285508 ,24 Jul 2017 Sold $1.58M,315m2,"20 Apr 2017 Listed for Sale SOLD AT AUCTION FOR $1,580,000",27 Nov 2009 Sold $732k,85m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/21-1-bay-dr-meadowbank-nsw-2114-2296422,"21/1 Bay Dr, Meadowbank",2,1,1,$700k,$750k,$425/w,$500/w,House 2006 75m2 10526m2 Residential - A 54/SP76502 ,03 Jul 2017 Sold $795k,10526m2,29 Jun 2006 Sold $595k,20 Apr 2006 Sold $400k,75m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/127-bowden-st-meadowbank-nsw-2114-8160657,"127 Bowden St, Meadowbank",-,-,-,$3.95M,$5.93M,,,House 1976 555m2 Factory Business - B 2/14964 ,30 Jun 2017 Sold $10.25M,555m2,29 Apr 2009 Sold $2.15M,11 Oct 1999 Sold $2.15M,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-23-angas-st-meadowbank-nsw-2114-2287494,"5/23 Angas St, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2006 59m2 10526m2 Residential - A 191/SP77059 ,18 May 2017 Sold $598k,10526m2,04 Mar 2017 Listed for Sale OPEN HOME CANCELLED,19 Jun 2006 Sold $310k,59m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-9-bay-dr-meadowbank-nsw-2114-3548779,"4/9 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 82m2 1160m2 Residential - A 43/SP78741 ,02 Dec 2016 Sold $625k,1160m2,"29 Sep 2016 Listed for Sale Buyers Guide $ 625,000",15 Aug 2007 Sold $415k,82m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/114-constitution-rd-w-meadowbank-nsw-2114-14280194,"114 Constitution Rd W, Meadowbank",3,2,1,$1.09M,$1.63M,,,House 1920 99m2 682m2 Residence Residential - A 15/9072 ,29 Nov 2016 Sold $1.46M,682m2,17 Feb 2002 Sold $455k,,99m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-bank-st-meadowbank-nsw-2114-12494739,"12 Bank St, Meadowbank",1,1,-,$800k,$900k,$300/w,$350/w,House 1980 3m2 796m2 Residential - A A/309651 ,29 Mar 2019 Listed for Rent $360- $410,796m2,29 Mar 2019 Listed for Rent $360- $410,13 Dec 2016 Rented $400,3m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/112-constitution-rd-w-meadowbank-nsw-2114-14280193,"112 Constitution Rd W, Meadowbank",4,2,3,$1.19M,$1.79M,,,House 1960 682m2 Residence Residential - A 16/9072 ,01 Jul 2016 Sold $1.49M,682m2,03 Mar 2004 Sold $575k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/7-ross-smith-ave-meadowbank-nsw-2114-9262582,"7 Ross Smith Ave, Meadowbank",2,1,-,$2.00M,$2.20M,$425/w,$500/w,House 1980 273m2 657m2 Residence Residential - A 14/12059 ,02 May 2019 Listed for Rent $480,657m2,04 Dec 2015 Listed for Rent $450,23 Nov 2015 Sold $1.46M,273m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-13-bay-dr-meadowbank-nsw-2114-3664309,"13/13 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 83m2 1160m2 Residential - A 132/SP79422 ,22 Apr 2015 Sold $555k,1160m2,"05 Mar 2015 Listed for Sale Offers Over $525,000",26 Oct 2007 Sold $390k,83m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1a-bay-dr-meadowbank-nsw-2114-14103211,"1a Bay Dr, Meadowbank",1,1,2,$600k,$650k,$425/w,$500/w,House 1980 625m2 Business - B 4/DP1092972 ,,625m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-2c-angas-st-meadowbank-nsw-2114-12493095,"1/2c Angas St, Meadowbank",3,1,2,$900k,$1.00M,$500/w,$575/w,House 1940 120m2 682m2 Residential - A ,27 Jun 2014 Sold $885k,682m2,,,120m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/315-5-bay-dr-meadowbank-nsw-2114-16314913,"315/5 Bay Dr, Meadowbank",3,2,1,$800k,$900k,$650/w,$750/w,House 2006 10526m2 Residential - A 315/SP77059 ,03 Feb 2014 Sold $1.03M,10526m2,27 Jun 2007 Sold $8.00k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/316-5-bay-dr-meadowbank-nsw-2114-16315030,"316/5 Bay Dr, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,House 2006 10526m2 Residential - A 316/SP77059 ,03 Feb 2014 Sold $1.03M,10526m2,27 Jun 2007 Sold $8.00k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/13-3-bay-dr-meadowbank-nsw-2114-14054571,"13/3 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2006 71m2 10526m2 Residential - A 93/SP76502 ,31 Jan 2014 Sold $472k,10526m2,24 Apr 2006 Sold $385k,,71m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/32-see-st-meadowbank-nsw-2114-12607699,"32 See St, Meadowbank",1,1,1,$1.07M,$1.60M,,,House 1998 82m2 1255m2 Residence Residential - A 29/4773 ,31 Dec 2013 Sold $6.83M,1255m2,22 Dec 2011 Sold $6.83M,13 Jun 1997 Sold $18k,82m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/30-see-st-meadowbank-nsw-2114-13000971,"30 See St, Meadowbank",4,1,1,$1.11M,$1.67M,,,House 1994 618m2 Residence Residential - A PT28/978176 ,31 Dec 2013 Sold $6.83M,618m2,22 Dec 2011 Sold $6.83M,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/113-bowden-st-meadowbank-nsw-2114-8228811,"113 Bowden St, Meadowbank",5,3,3,$1.26M,$1.89M,,,House 2000 752m2 Residence Residential - A A/333391 ,31 Dec 2013 Sold $6.83M,752m2,22 Dec 2011 Sold $6.83M,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/16a-meadow-cres-meadowbank-nsw-2114-9153555,"16a Meadow Cres, Meadowbank",1,1,1,,,$300/w,$350/w,House 1009m2 Residential A-4 2/533550 ,07 Nov 2013 Sold $3.30M,1009m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/108-constitution-rd-w-meadowbank-nsw-2114-14280191,"108 Constitution Rd W, Meadowbank",3,2,-,$764k,$1.15M,,,House 1960 125m2 682m2 Residential - A 18/9072 ,,682m2,,,125m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/22-54-meadow-cres-meadowbank-nsw-2114-4310410,"22/54 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,House 1967 183m2 1709m2 Residential - A 22/SP2888 ,19 Nov 2018 Listed for Rent DEPOSIT TAKEN,1709m2,25 Mar 2013 Sold $323k,19 Dec 2003 Sold $245k,183m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/94-adelaide-st-meadowbank-nsw-2114-13313909,"94 Adelaide St, Meadowbank",4,2,1,$2.20M,$2.40M,$850/w,$950/w,House 2012 319m2 653m2 Residence Residential - A 5/9072 ,07 Nov 2012 Sold $790k,653m2,,,319m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/20-see-st-meadowbank-nsw-2114-12554240,"20 See St, Meadowbank",4,2,1,$1.60M,$1.80M,$575/w,$650/w,House 1920 167m2 585m2 Residence Residential - A 1/964734 ,02 Oct 2012 Sold $925k,585m2,,,167m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/86-adelaide-st-meadowbank-nsw-2114-19437691,"86 Adelaide St, Meadowbank",3,2,1,$1.60M,$1.80M,$575/w,$650/w,House 1925 135m2 650m2 Residential - A 9/9072 ,02 Mar 2012 Sold $324k,650m2,16 Feb 2009 Sold $585k,,135m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1b-angas-st-meadowbank-nsw-2114-3408744,"1b Angas St, Meadowbank",1,1,1,$1.13M,$1.70M,$425/w,$500/w,House 2012 277m2 601m2 Vacant Land Residential - A 4/DP1063126 ,06 Feb 2012 Sold $700k,601m2,16 Jul 2007 Sold $500k,30 Jan 2004 Sold $500k,277m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/28-see-st-meadowbank-nsw-2114-11971205,"28 See St, Meadowbank",4,2,2,$1.50M,$1.60M,$425/w,$500/w,House 1945 167m2 Residence Residential - A 101/1018156 ,20 Sep 2011 Sold $700k,167m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/106-constitution-rd-w-meadowbank-nsw-2114-14280190,"106 Constitution Rd W, Meadowbank",3,1,1,$1.18M,$1.77M,,,House 1950 683m2 Residence Residential - A 19/9072 ,08 Apr 2011 Sold $820k,683m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/74-141-bowden-st-meadowbank-nsw-2114-3757947,"74/141 Bowden St, Meadowbank",2,1,1,$700k,$750k,$500/w,$575/w,House 2004 79m2 4877m2 Residential - A 74/SP72616 ,20 Jan 2011 Sold $560k,4877m2,30 Mar 2007 Sold $445k,03 Sep 2002 Sold $515k,79m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/86-constitution-rd-w-meadowbank-nsw-2114-9132354,"86 Constitution Rd W, Meadowbank",4,2,3,$1.09M,$1.63M,,,House 1920 170m2 664m2 Residence Residential - A 5/12059 ,22 Sep 2010 Sold $730k,664m2,04 Nov 2005 Sold $560k,12 Sep 2003 Sold $618k,170m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/102-bowden-st-meadowbank-nsw-2114-9262359,"102 Bowden St, Meadowbank",-,-,-,$1.35M,$2.03M,,,House 1972 2400m2 993m2 Commecial Business - B 1/730371 ,12 Jul 2007 Sold $1.35M,993m2,20 Sep 1994 Sold $325k,28 Apr 1972 Sold $85k,2400m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/86-constitution-rd-meadowbank-nsw-2114-9122867,"86 Constitution Rd, Meadowbank",5,2,3,$1.60M,$1.80M,$425/w,$500/w,House 1980 Residential - A ,07 Aug 2010 Sold $730k,,03 Mar 1994 Sold $210k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/34-see-st-meadowbank-nsw-2114-4300193,"34 See St, Meadowbank",4,2,2,$2.00M,$2.20M,$500/w,$575/w,House 1897 165m2 743m2 Residence Residential - A 1/1063126 ,09 Jul 2010 Sold $901k,743m2,07 Apr 2003 Sold $600k,25 Feb 1998 Sold $645k,165m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/84-constitution-rd-w-meadowbank-nsw-2114-14280175,"84 Constitution Rd W, Meadowbank",5,3,1,$1.52M,$2.29M,,,House 2009 550m2 Residence Residential - A 6/12059 ,01 Sep 2009 Sold $970k,550m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/78-adelaide-st-meadowbank-nsw-2114-2530957,"78 Adelaide St, Meadowbank",3,1,1,$1.09M,$1.63M,$500/w,$575/w,House 1980 739m2 Residential - A 13/9072 ,18 Dec 2007 Sold $655k,739m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/9-ross-smith-ave-meadowbank-nsw-2114-2534367,"9 Ross Smith Ave, Meadowbank",4,1,1,$1.50M,$1.60M,$575/w,$650/w,House 1930 613m2 Residential - A 16/12059 ,,613m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-13-bay-dr-meadowbank-nsw-2114-2505628,"1/13 Bay Dr, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,House 2007 90m2 1160m2 Residential - A 120/SP79422 ,08 Nov 2007 Sold $550k,1160m2,12 Dec 2005 Sold $550k,,90m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/108-bowden-st-meadowbank-nsw-2114-8177493,"108 Bowden St, Meadowbank",-,-,-,$1.71M,$2.57M,,,House 2007 313m2 845m2 Factory Business - B 3/12534 ,,845m2,,,313m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/3-ross-smith-ave-meadowbank-nsw-2114-2466837,"3 Ross Smith Ave, Meadowbank",4,3,1,$1.80M,$2.00M,$425/w,$500/w,House 2010 285m2 607m2 Residential - A 10/12059 ,03 Sep 2007 Sold $550k,607m2,,,285m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-21-angas-st-meadowbank-nsw-2114-3418331,"8/21 Angas St, Meadowbank",1,1,1,$900k,$1.00M,$425/w,$500/w,House 2007 82m2 1160m2 Residential - A 8/SP78741 ,15 Nov 2019 Listed for Rent $490,1160m2,15 Nov 2019 Listed for Rent $490,05 Dec 2017 Listed for Rent $510,82m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-24--26-meadow-cres-meadowbank-nsw-2114-12172760,"11/24-26 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,House 1960 63m2 2238m2 Residential - A 11/SP4008 ,27 Apr 2007 Sold $230k,2238m2,03 Nov 1995 Sold $108k,04 Dec 1981 Sold $53k,63m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-24--26-meadow-cres-meadowbank-nsw-2114-13937330,"1/24-26 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,House 1960 155m2 2310m2 Residential - A 1/SP4008 ,29 Jan 2007 Sold $90k,2310m2,03 Mar 1986 Sold $40k,,155m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-30--32-meadow-cres-meadowbank-nsw-2114-14299284,"6/30-32 Meadow Cres, Meadowbank",-,-,-,$550k,$600k,$350/w,$425/w,House ,22 Jan 2003 Sold $290k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/17-141-bowden-st-meadowbank-nsw-2114-3769808,"17/141 Bowden St, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,House 2004 100m2 4877m2 Residential - A 17/SP72616 ,01 Jun 2004 Sold $550k,4877m2,01 Jul 2002 Sold $550k,,100m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/55-141-bowden-st-meadowbank-nsw-2114-2251990,"55/141 Bowden St, Meadowbank",3,2,1,$800k,$900k,$650/w,$750/w,House 2000 120m2 4877m2 Residential - A 55/SP72616 ,08 Jun 2004 Sold $545k,4877m2,,,120m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/34-meadow-cres-meadowbank-nsw-2114-2203981,"34 Meadow Cres, Meadowbank",3,1,1,$1.50M,$1.60M,$350/w,$425/w,House 1980 774m2 Residential - A 38A/399670 ,24 Oct 2005 Sold $702k,774m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/88-adelaide-st-meadowbank-nsw-2114-2084347,"88 Adelaide St, Meadowbank",3,3,1,$1.60M,$1.80M,$425/w,$500/w,House 1955 238m2 652m2 Residence Residential - A 8/9072 ,09 Dec 2004 Sold $625k,652m2,24 Apr 2003 Sold $580k,,238m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/102-constitution-rd-w-meadowbank-nsw-2114-14280184,"102 Constitution Rd W, Meadowbank",3,2,2,$1.27M,$1.90M,,,House 1925 125m2 679m2 Residential - A 20/9072 ,28 Oct 2004 Sold $683k,679m2,,,125m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/92-constitution-rd-w-meadowbank-nsw-2114-14280178,"92 Constitution Rd W, Meadowbank",4,2,1,$937k,$1.41M,,,House 1930 663m2 Residence Residential - A 2/12059 ,,663m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/16-see-st-meadowbank-nsw-2114-4282200,"16 See St, Meadowbank",3,1,2,$1.30M,$1.40M,$500/w,$575/w,House 1930 145m2 463m2 Residence Residential - A B/306903 ,08 Dec 1999 Sold $290k,463m2,30 Sep 1988 Sold $154k,,145m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1a-angas-st-meadowbank-nsw-2114-4297827,"1a Angas St, Meadowbank",1,1,1,$1.01M,$1.52M,$425/w,$500/w,House 1980 681m2 Residence Residential - A 2/DP1063126 ,06 Feb 2004 Sold $600k,681m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/92-adelaide-st-meadowbank-nsw-2114-4360804,"92 Adelaide St, Meadowbank",2,1,1,$1.40M,$1.50M,$575/w,$650/w,House 2003 647m2 Residence Residential - A 6/9072 ,27 Aug 2003 Sold $540k,647m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/88-constitution-rd-w-meadowbank-nsw-2114-14280176,"88 Constitution Rd W, Meadowbank",5,3,2,$1.45M,$2.17M,,,House 2002 664m2 Residence Residential - A 4/12059 ,25 Feb 2002 Sold $600k,664m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/38-see-st-meadowbank-nsw-2114-4296634,"38 See St, Meadowbank",-,-,-,$800k,$900k,$425/w,$500/w,House 601m2 Residence Residential A-4 3/1063126 ,12 Jun 2003 Sold $550k,601m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/114-constitution-rd-meadowbank-nsw-2114-14515357,"114 Constitution Rd, Meadowbank",3,2,1,$1.60M,$1.80M,$500/w,$575/w,House 1987 Residential - A 15/9072 ,02 Apr 2002 Sold $455k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-see-st-meadowbank-nsw-2114-4628248,"4 See St, Meadowbank",3,2,2,$1.50M,$1.60M,$575/w,$650/w,House 2001 652m2 Residence Residential - A 2/320256 ,28 Sep 2001 Sold $450k,652m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-see-st-meadowbank-nsw-2114-4599372,"8 See St, Meadowbank",4,2,2,$1.60M,$1.80M,$500/w,$575/w,House 1920 197m2 516m2 Residence Residential - A PT/4773 ,24 Sep 2001 Sold $620k,516m2,,,197m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/10-see-st-meadowbank-nsw-2114-4599373,"10 See St, Meadowbank",4,2,2,$1.60M,$1.80M,$575/w,$650/w,House 1930 476m2 Residence Residential - A PT/4773 ,24 Sep 2001 Sold $620k,476m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/28a-see-st-meadowbank-nsw-2114-4684852,"28a See St, Meadowbank",3,2,1,$1.30M,$1.40M,$500/w,$575/w,House 2001 109m2 332m2 Residence Residential - A 101/DP1018156 ,04 Apr 2001 Sold $346k,332m2,,,109m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-ross-smith-ave-meadowbank-nsw-2114-4748508,"11 Ross Smith Ave, Meadowbank",6,4,6,$2.80M,$3.00M,$1100/w,$1250/w,House 1988 748m2 Residential - A 18/12059 ,27 Feb 2018 Listed for Sale Contact Agent - Michael Catalano 0449 878 376,748m2,31 Aug 2000 Sold $730k,31 Aug 1992 Sold $550k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-stone-st-meadowbank-nsw-2114-12702164,"1 Stone St, Meadowbank",2,1,-,$1.40M,$1.50M,$575/w,$650/w,House 1993 601m2 Residential - A 101/545937 ,17 Sep 1993 Sold $200k,601m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-4-bank-st-meadowbank-nsw-2114-19204601,"11/4 Bank St, Meadowbank",1,1,1,$300k,$325k,$250/w,$300/w,House 1980 31m2 1302m2 Residential - A 16/SP14658 ,12 Feb 2019 Listed for Rent DEPOSIT TAKEN,1302m2,07 Aug 2017 Rented $325,05 Apr 2016 Rented $325,31m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-ross-smith-ave-meadowbank-nsw-2114-4814996,"8 Ross Smith Ave, Meadowbank",3,1,1,$1.40M,$1.50M,$500/w,$575/w,House 1990 600m2 Residential - A 15/12059 ,17 Jan 2000 Sold $354k,600m2,14 Dec 1990 Sold $180k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/10-ross-smith-ave-meadowbank-nsw-2114-4815044,"10 Ross Smith Ave, Meadowbank",4,2,1,$1.60M,$1.80M,$500/w,$575/w,House 1980 694m2 Residential - A 17/12059 ,13 Dec 1999 Sold $410k,694m2,26 May 1988 Sold $194k,17 Mar 1980 Sold $63k,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/18-see-st-meadowbank-nsw-2114-4814547,"18 See St, Meadowbank",3,1,1,$1.30M,$1.40M,$500/w,$575/w,House 1980 469m2 Residential - A A/306903 ,05 Dec 2016 Listed for Rent Rent By Negotiation $570-$620,469m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/100-adelaide-st-meadowbank-nsw-2114-13483790,"100 Adelaide St, Meadowbank",4,3,6,$2.00M,$2.20M,$650/w,$750/w,House 1996 854m2 Residential - A B/388841 ,10 Nov 1999 Sold $576k,854m2,03 Feb 1993 Sold $184k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-ross-smith-ave-meadowbank-nsw-2114-4814995,"6 Ross Smith Ave, Meadowbank",3,2,1,$1.50M,$1.60M,$575/w,$650/w,House 1999 323m2 Residential - A 13/12059 ,,323m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/102-constitution-rd-meadowbank-nsw-2114-14514863,"102 Constitution Rd, Meadowbank",3,1,1,$1.50M,$1.60M,$575/w,$650/w,House 1995 Residential - A 20/9072 ,07 Dec 1998 Sold $332k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-18--19-bank-st-meadowbank-nsw-2114-18224723,"8/18-19 Bank St, Meadowbank",2,1,1,$500k,$550k,$300/w,$350/w,House 1968 55m2 1427m2 Residential - A 3-4/SP7351 ,03 Oct 2019 Listed for Rent $360,1427m2,25 Sep 1998 Sold $152k,21 Jul 1989 Sold $95k,55m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-ross-smith-ave-meadowbank-nsw-2114-13239570,"5 Ross Smith Ave, Meadowbank",4,2,1,$1.60M,$1.80M,$350/w,$425/w,House 1925 182m2 634m2 Residential - A 12/12059 ,10 Oct 1997 Sold $335k,634m2,02 Oct 1987 Sold $113k,,182m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/110-bowden-st-meadowbank-nsw-2114-15147775,"110 Bowden St, Meadowbank",-,-,-,$1.74M,$2.61M,,,House 1997 776m2 Industrial - I 2/12534 ,18 Jul 1997 Sold $626k,776m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-see-st-meadowbank-nsw-2114-12381746,"12 See St, Meadowbank",3,2,1,,,$500/w,$575/w,House 1985 990m2 Residential - A 13/4775 ,18 Dec 1985 Sold $94k,990m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/50-constitution-rd-meadowbank-nsw-2114-13891701,"50 Constitution Rd, Meadowbank",5,3,3,$1.50M,$1.60M,$300/w,$350/w,House 1996 644m2 Residential - A 4/DP7533 ,,644m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/18--20-railway-rd-meadowbank-nsw-2114-13892957,"18-20 Railway Rd, Meadowbank",5,3,3,$1.80M,$2.00M,$575/w,$650/w,House 1992 754m2 Industrial - I 9/7533 ,11 Nov 1996 Sold $880k,754m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-angas-st-meadowbank-nsw-2114-4986934,"1 Angas St, Meadowbank",3,1,3,$2.20M,$2.40M,$575/w,$650/w,House 1980 1164m2 Industrial - I 60/4773 ,29 Jul 1996 Sold $495k,1164m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/36-meadow-cres-meadowbank-nsw-2114-13302046,"36 Meadow Cres, Meadowbank",3,1,1,$1.60M,$1.80M,$350/w,$425/w,House 1950 802m2 Residential - A B/349089 ,04 Apr 1996 Sold $145k,802m2,04 Aug 1981 Sold $105k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/5-30-meadow-cres-meadowbank-nsw-2114-16648771,"5/30 Meadow Cres, Meadowbank",2,1,1,$531k,$650k,,,House 1970 72m2 1884m2 Residential - A ,18 Mar 1982 Sold $64k,1884m2,,,72m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/1-ross-smith-ave-meadowbank-nsw-2114-15849466,"1 Ross Smith Ave, Meadowbank",4,3,1,$1.80M,$2.00M,$650/w,$750/w,House 1930 231m2 661m2 Residential - A 8/12059 ,22 Aug 1990 Sold $160k,661m2,23 Sep 1988 Sold $200k,,231m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/110-constitution-rd-meadowbank-nsw-2114-14515363,"110 Constitution Rd, Meadowbank",2,1,1,$1.40M,$1.50M,$575/w,$650/w,House 1994 Residential - A ,30 Sep 1994 Sold $200k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/7-24--26-meadow-cres-meadowbank-nsw-2114-13937097,"7/24-26 Meadow Cres, Meadowbank",1,1,1,$450k,$500k,$300/w,$350/w,House 1960 164m2 2310m2 Residential - A 40/41/SP4008 ,15 Nov 2017 Listed for Rent $320,2310m2,21 Dec 2015 Rented $355,15 Dec 2015 Listed for Rent $355 / Wk,164m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/80-adelaide-st-meadowbank-nsw-2114-13520676,"80 Adelaide St, Meadowbank",5,3,3,$1.40M,$1.50M,$575/w,$650/w,House 1985 641m2 Residential - A 12/9072 ,16 Apr 1993 Sold $217k,641m2,23 Mar 1990 Sold $205k,,
