,Link,address,Bedrooms,Bathrooms,Car spaces,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Land area,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/9-45-meadow-cres-meadowbank-nsw-2114-13419086,"9/45 Meadow Cres, Meadowbank",2,1,1,$500k,$550k,$300/w,$350/w,Unit 1960 48m2 685m2 Residential - A ,"21 May 2020 Listed for Sale $530,000 - $550,000",685m2,21 Nov 2017 Sold $560k,08 Aug 2017 Listed for Sale Sold,48m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/37-117-bowden-st-meadowbank-nsw-2114-20719685,"37/117 Bowden St, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit ,02 Dec 2019 Listed for Rent $600,,26 Nov 2019 Listed for Rent $600,15 Nov 2019 Listed for Rent $650,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/18-31-meadow-cres-meadowbank-nsw-2114-2547576,"18/31 Meadow Cres, Meadowbank",2,1,1,$600k,$650k,$350/w,$425/w,Unit 1973 65m2 1420m2 Residential - A 18/SP7704 ,20 Nov 2017 Sold $655k,1420m2,13 Apr 2017 Sold $388k,07 May 2012 Sold ,65m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2-12-meadow-cres-meadowbank-nsw-2114-2382881,"2/12 Meadow Cres, Meadowbank",2,1,1,$600k,$650k,$350/w,$425/w,Unit 1965 239m2 1864m2 Residential - A 2/SP5184 ,17 Nov 2017 Sold $671k,1864m2,22 Dec 2006 Sold $299k,15 Jun 1990 Sold $133k,239m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/2202-11-angas-st-meadowbank-nsw-2114-19141663,"2202/11 Angas St, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Unit 2014 6528m2 Residential - A 72/SP91188 ,16 Nov 2017 Sold $825k,6528m2,24 Apr 2015 Sold $635k,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/41-11-bay-dr-meadowbank-nsw-2114-2555325,"41/11 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit 2007 60m2 1160m2 Residential - A 197/SP79422 ,16 Nov 2017 Sold $642k,1160m2,23 Dec 2013 Sold $455k,22 Feb 2008 Sold $423k,60m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/12-30--32-meadow-cres-meadowbank-nsw-2114-13625004,"12/30-32 Meadow Cres, Meadowbank",2,1,1,$600k,$650k,$350/w,$425/w,Unknown ,08 Nov 2017 Sold $687k,,13 Oct 2017 Listed for Sale Inspection cancelled | Contact agent,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/8-11-bay-dr-meadowbank-nsw-2114-2551350,"8/11 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,House 2007 77m2 1160m2 Residential - A 164/SP79422 ,08 Nov 2017 Sold $617k,1160m2,02 Aug 2017 Listed for Sale UNDER CONTRACT,12 Feb 2008 Sold $403k,77m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-117-bowden-st-meadowbank-nsw-2114-20719564,"11/117 Bowden St, Meadowbank",-,-,-,$750k,$800k,$500/w,$575/w,Unit ,07 Nov 2017 Sold $825k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/22-4--8-angas-st-meadowbank-nsw-2114-19553441,"22/4-8 Angas St, Meadowbank",3,2,2,$800k,$900k,$650/w,$750/w,Unit 2014 91m2 1841m2 ,06 Nov 2017 Sold $920k,1841m2,28 Jul 2014 Sold $699k,,91m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/10-1-bay-dr-meadowbank-nsw-2114-2528864,"10/1 Bay Dr, Meadowbank",3,2,1,$550k,$600k,$425/w,$500/w,Unit 2006 71m2 10526m2 Residential - A 135/SP76502 ,02 Nov 2017 Sold $635k,10526m2,11 Dec 2007 Sold $433k,14 Jul 2006 Sold $445k,71m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/4-33-meadow-cres-meadowbank-nsw-2114-12258081,"4/33 Meadow Cres, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1965 65m2 1359m2 Residential - A A&B/SP7737 ,31 Oct 2017 Sold $630k,1359m2,08 Sep 1992 Sold $135k,23 Mar 1990 Sold $133k,65m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/9-117-bowden-st-meadowbank-nsw-2114-20719384,"9/117 Bowden St, Meadowbank",-,-,-,$600k,$650k,$500/w,$575/w,Unit ,31 Oct 2017 Sold $589k,,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/327-9-bay-dr-meadowbank-nsw-2114-14759786,"327/9 Bay Dr, Meadowbank",2,2,1,$650k,$700k,$425/w,$500/w,Unit 2007 1160m2 Residential - A 327/SP79422 ,20 Oct 2017 Sold $739k,1160m2,,,
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/11-21-angas-st-meadowbank-nsw-2114-2450784,"11/21 Angas St, Meadowbank",2,1,1,$650k,$700k,$500/w,$575/w,Apartment 2007 72m2 1160m2 Residential - A 11/SP78741 ,20 Oct 2017 Sold $739k,1160m2,28 Jun 2007 Sold $435k,,72m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/31-13-bay-dr-meadowbank-nsw-2114-2501875,"31/13 Bay Dr, Meadowbank",2,2,1,$750k,$800k,$500/w,$575/w,Apartment 2007 80m2 1160m2 Residential - A 150/SP79422 ,19 Oct 2017 Sold $905k,1160m2,28 Nov 2016 Sold $870k,07 Nov 2007 Sold $644k,80m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/6-9-bank-st-meadowbank-nsw-2114-13519583,"6/9 Bank St, Meadowbank",2,1,1,$550k,$600k,$350/w,$425/w,Unit 1970 249m2 1346m2 Residential - A ,18 Oct 2017 Sold $642k,1346m2,,,249m2
0,https://www.onthehouse.com.au/property/nsw/meadowbank-2114/36-21-bay-dr-meadowbank-nsw-2114-20315936,"36/21 Bay Dr, Meadowbank",1,1,1,$550k,$600k,$425/w,$500/w,Unit 2015 1785m2 ,18 Oct 2017 Sold $315k,1785m2,27 Jul 2017 Sold $610k,,
