,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/11-rutland-ave-baulkham-hills-nsw-2153-13012143,"11 Rutland Ave, Baulkham Hills",4,2,2,213m2,696m2,$1.10M,$1.20M,$850/w,$950/w,House 1975 213m2 696m2 Residential - A 627/237412 ,17 May 2019 Sold $1.13M,15 Aug 1994 Sold $240k,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/60-old-northern-rd-baulkham-hills-nsw-2153-4978331,"60 Old Northern Rd, Baulkham Hills",3,1,6,110m2,721m2,$800k,$900k,$425/w,$500/w,House 1890 110m2 721m2 Residence Residential - A 2/207936 ,17 May 2019 Sold $810k,27 Jan 2019 Listed for Sale Sold | Jay Bacani and Manor Team,12 Aug 2009 Sold $490k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/12-lotus-cl-baulkham-hills-nsw-2153-4808788,"12 Lotus Cl, Baulkham Hills",4,2,2,195m2,954m2,$1.30M,$1.40M,$575/w,$650/w,House 1985 195m2 954m2 Residence Residential - A 77/710340 ,14 May 2019 Sold ,03 Dec 2012 Sold $735k,26 Nov 1999 Sold $415k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/165-seven-hills-rd-baulkham-hills-nsw-2153-13656116,"165 Seven Hills Rd, Baulkham Hills",3,1,1,,695m2,$1.00M,$1.10M,$500/w,$575/w,House 1969 695m2 Residential - A 17/DP227304 ,13 May 2019 Sold $930k,18 Mar 2019 Listed for Sale SOLD by Chris De Celis,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/63-gooden-dr-baulkham-hills-nsw-2153-12318367,"63 Gooden Dr, Baulkham Hills",3,1,2,,696m2,$900k,$1.00M,$425/w,$500/w,House 1979 696m2 Residential - A 348/238132 ,11 May 2019 Sold $950k,01 Apr 2019 Listed for Sale SOLD BY RAY WHITE BAULKHAM HILLS,01 Apr 2019 Listed for Sale SOLD BY RAY WHITE BAULKHAM HILLS
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/3-binda-pl-baulkham-hills-nsw-2153-12750433,"3 Binda Pl, Baulkham Hills",4,2,2,,696m2,$1.00M,$1.10M,$350/w,$425/w,House 1979 696m2 Residential - A 130/DP236203 ,08 May 2019 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/17-lowanna-ave-baulkham-hills-nsw-2153-4808844,"17 Lowanna Ave, Baulkham Hills",4,3,2,205m2,930m2,$1.20M,$1.30M,$750/w,$850/w,House 1980 205m2 930m2 Residential - A 109/232704 ,07 May 2019 Sold $1.22M,08 Sep 2017 Rented $875,24 Jun 2017 Listed for Rent $800
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/86-amphitheatre-cct-baulkham-hills-nsw-2153-15919641,"86 Amphitheatre Cct, Baulkham Hills",4,2,2,160m2,756m2,$1.10M,$1.20M,$425/w,$500/w,House 2014 160m2 756m2 Vacant Land Residential - A 303/1154474 ,06 May 2019 Sold ,10 Sep 2012 Sold $550k,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/11-victor-cl-baulkham-hills-nsw-2153-12918852,"11 Victor Cl, Baulkham Hills",4,2,2,,878m2,$1.30M,$1.40M,$750/w,$850/w,House 1980 878m2 Residential - A 1039/DP249810 ,03 May 2019 Sold $1,,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/13-torrs-st-baulkham-hills-nsw-2153-12991121,"13 Torrs St, Baulkham Hills",3,1,2,,752m2,$900k,$1.00M,$500/w,$575/w,House 1978 752m2 Residential - A 30/DP27563 ,30 Apr 2019 Sold $890k,15 Apr 2019 Listed for Sale Sold by Paul Hanna,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/110-delaney-dr-baulkham-hills-nsw-2153-13309476,"110 Delaney Dr, Baulkham Hills",5,2,3,,736m2,$1.30M,$1.40M,$575/w,$650/w,House 1997 736m2 Residential - A 16/800241 ,30 Apr 2019 Sold $1.34M,23 Jan 2019 Listed for Sale SOLD,11 Apr 1997 Sold $295k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/46-coolock-cres-baulkham-hills-nsw-2153-13340503,"46 Coolock Cres, Baulkham Hills",5,3,3,,764m2,$1.30M,$1.40M,$650/w,$750/w,House 1993 764m2 Residential - A 72/800241 ,30 Apr 2019 Sold $1.14M,16 Apr 1993 Sold $290k,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/15-billeroy-ave-baulkham-hills-nsw-2153-12799514,"15 Billeroy Ave, Baulkham Hills",4,2,2,,955m2,$1.10M,$1.20M,$575/w,$650/w,House 1975 955m2 Residential - A 1001/DP245283 ,29 Apr 2019 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/60-cross-st-baulkham-hills-nsw-2153-13322371,"60 Cross St, Baulkham Hills",3,1,3,,834m2,$1.10M,$1.20M,$500/w,$575/w,House 1978 834m2 Residential - A 38/DP221809 ,29 Apr 2019 Sold $960k,05 Mar 2019 Listed for Sale Popular North Baulkham Hills Location,
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/30-kareela-rd-baulkham-hills-nsw-2153-12774241,"30 Kareela Rd, Baulkham Hills",5,4,2,249m2,695m2,$1.30M,$1.40M,$850/w,$950/w,House 1970 249m2 695m2 Residential - A 12/235626 ,28 Apr 2019 Sold $1.30M,15 May 2017 Sold $1.24M,29 May 1987 Sold $166k
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/15-vincent-st-baulkham-hills-nsw-2153-12798139,"15 Vincent St, Baulkham Hills",4,3,2,,695m2,$1.00M,$1.10M,$575/w,$650/w,House 2018 695m2 Residential - A 25/DP213888 ,27 Apr 2019 Sold $920k,14 Jan 2019 Listed for Rent $650 - $670,02 Feb 2018 Sold $1.03M
0,https://www.onthehouse.com.au/property/nsw/baulkham-hills-2153/37-merindah-rd-baulkham-hills-nsw-2153-12835178,"37 Merindah Rd, Baulkham Hills",5,3,4,,987m2,$1.50M,$1.60M,$575/w,$650/w,House 1986 987m2 Residential - A 22/224797 ,27 Apr 2019 Sold $984k,01 Apr 2019 Listed for Sale Sold | Daniel Sarzano,01 Apr 2019 Listed for Sale SOLD BY RAY WHITE BAULKHAM HILLS
