,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/26-whiteman-ave-bella-vista-nsw-2153-2340925,"26 Whiteman Ave, Bella Vista",5,3,3,306m2,772m2,$1.60M,$1.80M,$850/w,$950/w,House 1995 306m2 772m2 Residential - A 14/847445 ,16 Jul 2014 Sold $1.22M,25 Aug 2006 Sold $785k,21 Jun 1996 Sold $380k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/47-skylark-cct-bella-vista-nsw-2153-4290219,"47 Skylark Cct, Bella Vista",3,2,2,196m2,308m2,$1.10M,$1.20M,$575/w,$650/w,House 2000 196m2 308m2 Residence Residential - A 108/270066 ,14 Jul 2014 Sold $905k,08 Mar 2004 Sold $580k,26 Jul 2002 Sold $485k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/7-pittman-pl-bella-vista-nsw-2153-4451976,"7 Pittman Pl, Bella Vista",5,3,2,280m2,700m2,$1.40M,$1.50M,$500/w,$575/w,House 2002 280m2 700m2 Vacant Land Residential - A 130/1030661 ,09 Dec 2002 Sold $700k,21 Dec 2001 Sold $285k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/11-stone-pine-way-bella-vista-nsw-2153-4807361,"11 Stone Pine Way, Bella Vista",4,4,3,357m2,794m2,$1.60M,$1.80M,$575/w,$650/w,House 1998 357m2 794m2 Residential - A 644/849483 ,11 Jul 2014 Sold $1.20M,23 Mar 2007 Sold $955k,28 Apr 1999 Sold $576k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/28-eastbourne-way-bella-vista-nsw-2153-4600727,"28 Eastbourne Way, Bella Vista",5,3,2,285m2,756m2,$1.60M,$1.80M,$750/w,$850/w,House 1998 285m2 756m2 Residence Residential - A 714/860359 ,07 Jul 2014 Sold $1.34M,27 Jul 2001 Sold $630k,13 Feb 1997 Sold $173k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/15-stonybrook-tce-bella-vista-nsw-2153-8325493,"15 Stonybrook Tce, Bella Vista",5,3,3,,773m2,$2.00M,$2.20M,$750/w,$850/w,House 2012 773m2 Vacant Land Residential - A 2008/1130088 ,01 Jul 2014 Sold $1.80M,28 May 2010 Sold $549k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/1-bingara-cres-bella-vista-nsw-2153-16020287,"1 Bingara Cres, Bella Vista",5,3,2,328m2,880m2,$1.50M,$1.60M,$750/w,$850/w,House 1990 328m2 880m2 Residential - A 4/813041 ,30 Jun 2014 Sold $1.22M,11 Jun 2013 Sold $873k,27 Apr 1999 Sold $185k
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/37-edgewater-dr-bella-vista-nsw-2153-4522691,"37 Edgewater Dr, Bella Vista",5,3,3,322m2,710m2,$2.20M,$2.40M,$1100/w,$1250/w,House 2003 322m2 710m2 Vacant Land Residential - A 612/1038607 ,30 Jun 2014 Sold $1.55M,14 May 2002 Sold $369k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/5-quindalup-pl-bella-vista-nsw-2153-12924676,"5 Quindalup Pl, Bella Vista",5,3,3,301m2,727m2,$1.60M,$1.80M,$750/w,$850/w,House 1998 301m2 727m2 Residential - A 57/837624 ,07 Mar 2019 Listed for Rent APPLICATION APPROVED,27 Jun 2014 Sold $686k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/14-magney-pl-bella-vista-nsw-2153-12699333,"14 Magney Pl, Bella Vista",4,3,3,301m2,791m2,$1.50M,$1.60M,$650/w,$750/w,House 1996 301m2 791m2 Residential - A 727/860359 ,23 Jun 2014 Sold $1.34M,23 Oct 1996 Sold $178k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/8-tranquility-ct-bella-vista-nsw-2153-13459839,"8 Tranquility Ct, Bella Vista",4,3,2,242m2,817m2,$1.30M,$1.40M,$750/w,$850/w,House 1998 242m2 817m2 Residential - A 2020/839376 ,23 Jun 2014 Sold $1.13M,07 May 1999 Sold $439k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/7b-hindle-tce-bella-vista-nsw-2153-12810661,"7b Hindle Tce, Bella Vista",3,2,2,,438m2,$1.10M,$1.20M,$575/w,$650/w,House 1996 438m2 Residential - A 81/DP863704 ,17 Jun 2014 Sold $895k,24 Dec 1996 Sold $252k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/3-hindle-tce-bella-vista-nsw-2153-12960766,"3 Hindle Tce, Bella Vista",4,2,3,,729m2,$1.40M,$1.50M,$575/w,$650/w,House 1998 729m2 Residential - A 510/844927 ,17 Jun 2014 Sold $1.25M,09 Dec 1994 Sold $160k,
0,https://www.onthehouse.com.au/property/nsw/bella-vista-2153/10-springfield-cres-bella-vista-nsw-2153-2506418,"10 Springfield Cres, Bella Vista",4,3,2,229m2,842m2,$1.30M,$1.40M,$575/w,$650/w,House 1993 229m2 842m2 Residence Residential - A 42/816078 ,17 Jun 2014 Sold $1.21M,13 Nov 2007 Sold $800k,23 Dec 2002 Sold $630k
