,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/epping-2121/1-wyvern-st-epping-nsw-2121-12850360,"1 Wyvern St, Epping",5,3,3,,909m2,$1.80M,$2.00M,$500/w,$575/w,House 1986 909m2 Residential - A 34/DP31307 ,27 Mar 2019 Sold $1.91M,15 Aug 2018 Sold ,04 Apr 1991 Sold $360k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/31-dunmore-rd-epping-nsw-2121-13046162,"31 Dunmore Rd, Epping",3,2,1,,855m2,$1.30M,$1.40M,$500/w,$575/w,House 1980 855m2 Residential - A 78/DP16724 ,25 Mar 2019 Sold $1.22M,,
0,https://www.onthehouse.com.au/property/nsw/epping-2121/17a-neil-st-epping-nsw-2121-17461656,"17a Neil St, Epping",4,2,2,,445m2,$1.50M,$1.60M,$850/w,$950/w,House 1978 445m2 Residential - A 1/DP1160608 ,25 Mar 2019 Sold $1.41M,,
0,https://www.onthehouse.com.au/property/nsw/epping-2121/5-dorset-st-epping-nsw-2121-2548177,"5 Dorset St, Epping",4,2,1,140m2,562m2,$1.50M,$1.60M,$850/w,$950/w,House 1920 140m2 562m2 Residential - A G/443977 ,23 Mar 2019 Sold $1.35M,05 Jan 2008 Sold $860k,13 May 1994 Sold $252k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/103-ray-rd-epping-nsw-2121-12731283,"103 Ray Rd, Epping",3,1,1,,777m2,$1.80M,$2.00M,$575/w,$650/w,House 1980 777m2 Residential - A 3/17916 ,22 Mar 2019 Sold $1.40M,27 Mar 2015 Sold $617k,11 Jun 1997 Sold $83k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/2-derby-st-epping-nsw-2121-13257978,"2 Derby St, Epping",3,2,1,,333m2,$1.30M,$1.40M,$650/w,$750/w,House 1990 333m2 Residential - A 10/851375 ,20 Mar 2019 Sold $1.31M,13 May 1998 Sold $320k,09 Aug 1995 Sold $309k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/1-crandon-rd-epping-nsw-2121-13143458,"1 Crandon Rd, Epping",5,3,3,,689m2,$800k,$900k,$500/w,$575/w,House 1984 689m2 Residential - A D/DP341330 ,18 Mar 2019 Sold $3.98M,03 Feb 2016 Sold $2.20M,12 Jun 1984 Sold $112k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/3-crandon-rd-epping-nsw-2121-4439090,"3 Crandon Rd, Epping",7,3,2,242m2,689m2,$2.00M,$2.20M,$950/w,$1100/w,House 1955 242m2 689m2 Residence Residential - A C/341330 ,18 Mar 2019 Sold $4.08M,17 Oct 2011 Sold $1.06M,20 Jan 2003 Sold $805k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/29-willow-cl-epping-nsw-2121-4386793,"29 Willow Cl, Epping",4,2,2,180m2,841m2,$1.60M,$1.80M,$650/w,$750/w,House 1960 180m2 841m2 Residence Residential - A 7/202716 ,15 Mar 2019 Sold ,01 Jul 2016 Sold $1.47M,23 Jun 2003 Sold $578k
0,https://www.onthehouse.com.au/property/nsw/epping-2121/17-neil-st-epping-nsw-2121-2401617,"17 Neil St, Epping",2,2,1,,225m2,$1.50M,$1.60M,$850/w,$950/w,House 1905 225m2 Residential - A 27/7726 ,14 Mar 2019 Sold $1.43M,15 Jan 2007 Sold $685k,06 Oct 1995 Sold $310k
