,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Floor area,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/97-north-rd-ryde-nsw-2112-19022152,"97 North Rd, Ryde",3,1,2,632m2,$1.40M,$1.50M,$575/w,$650/w,House 1960 102m2 632m2 Residential - A 26/160326 ,18 Aug 2018 Sold $1.31M,29 Nov 2016 Sold $1.51M,102m2,31 Aug 2016 Listed for Sale Auction on 1st Oct at 11.15am
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/93-lane-cove-rd-ryde-nsw-2112-2194870,"93 Lane Cove Rd, Ryde",-,-,-,638m2,$2.00M,$2.20M,$850/w,$950/w,House 2017 290m2 638m2 Residential - A 15/1084773 ,16 Aug 2018 Sold $1.86M,31 Dec 2015 Sold $830k,290m2,13 Sep 2005 Sold $350k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/36-gladstone-ave-ryde-nsw-2112-4815732,"36 Gladstone Ave, Ryde",3,1,1,467m2,$1.40M,$1.50M,$575/w,$650/w,House 1960 130m2 467m2 Residence Residential - A 41/29255 ,16 Aug 2018 Sold ,19 Jan 2010 Sold $731k,130m2,21 May 1999 Sold $315k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/22a-weaver-st-ryde-nsw-2112-11230946,"22a Weaver St, Ryde",3,2,2,382m2,$1.40M,$1.50M,$850/w,$950/w,House 1995 280m2 382m2 Residence Residential - A 402/848170 ,11 Aug 2018 Sold $1.32M,16 Jul 2018 Listed for Sale Auction On Site Saturday 11th August at 1.15pm,280m2,20 Dec 2011 Sold $810k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/8-gardener-ave-ryde-nsw-2112-12701995,"8 Gardener Ave, Ryde",4,2,2,694m2,$1.80M,$2.00M,$850/w,$950/w,House 1950 167m2 694m2 Residential - A 9/DP13732 ,"31 Oct 2018 Listed for Rent $1,050",10 Aug 2018 Sold $1.80M,167m2,16 Nov 2015 Sold $1.68M
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/19-malvina-st-ryde-nsw-2112-12828988,"19 Malvina St, Ryde",3,2,1,935m2,$1.80M,$2.00M,$650/w,$750/w,House 1980 935m2 Residential - A 15/DP10126 ,09 Aug 2018 Sold $1.66M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/16-providence-rd-ryde-nsw-2112-12629506,"16 Providence Rd, Ryde",3,1,2,556m2,$1.40M,$1.50M,$500/w,$575/w,House 1980 556m2 Residential - A 25/DP19018 ,08 Aug 2018 Sold ,01 Feb 2016 Sold $1.20M,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/19-badajoz-rd-ryde-nsw-2112-4396204,"19 Badajoz Rd, Ryde",3,2,1,625m2,$1.80M,$2.00M,$575/w,$650/w,House 1993 625m2 Residence Residential - A 2/501789 ,07 Aug 2018 Sold $1.73M,27 May 2003 Sold $670k,,02 Jul 1993 Sold $139k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/10-bidgee-rd-ryde-nsw-2112-13183518,"10 Bidgee Rd, Ryde",3,1,1,785m2,$1.60M,$1.80M,$500/w,$575/w,House 1980 785m2 Residential - A 50/DP36248 ,11 Sep 2018 Listed for Rent $580,06 Aug 2018 Sold ,,12 Aug 1988 Sold $190k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/26-greene-ave-ryde-nsw-2112-12477603,"26 Greene Ave, Ryde",4,2,2,726m2,$1.60M,$1.80M,$575/w,$650/w,House 1978 726m2 Residential - A 42/DP10373 ,02 Aug 2018 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/44-greene-ave-ryde-nsw-2112-3414502,"44 Greene Ave, Ryde",3,1,2,721m2,$1.80M,$2.00M,$575/w,$650/w,House 1980 721m2 Residential - A 33/10373 ,31 Jul 2018 Sold $1.98M,13 Jun 2018 Listed for Sale Contact Agent,,03 Aug 2007 Sold $590k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/33-boyce-st-ryde-nsw-2112-12772568,"33 Boyce St, Ryde",5,4,2,723m2,$2.20M,$2.40M,$650/w,$750/w,House 1970 279m2 723m2 Residential - A T260/DP12999 ,29 Jul 2018 Sold $2.00M,13 Jan 1984 Sold $90k,279m2,
