,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Floor area,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/36-gardener-ave-ryde-nsw-2112-13627430,"36 Gardener Ave, Ryde",4,2,2,629m2,$1.60M,$1.80M,$1100/w,$1250/w,House 1978 629m2 Residential - A 42/DP36248 ,03 Oct 2020 Sold $2.56M,18 Oct 2018 Sold $1.43M,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/117-bridge-rd-ryde-nsw-2112-13732827,"117 Bridge Rd, Ryde",4,2,2,925m2,$1.60M,$1.80M,$650/w,$750/w,House 1985 925m2 Residential - A 96/DP224300 ,03 Oct 2020 Sold $1.70M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/176-buffalo-rd-ryde-nsw-2112-3328675,"176 Buffalo Rd, Ryde",3,2,2,543m2,$1.50M,$1.60M,$575/w,$650/w,House 1950 170m2 543m2 Residence Residential - A 10/18187 ,01 Oct 2020 Sold $1.55M,02 Sep 2019 Listed for Rent $650 per week,170m2,11 Jul 2008 Sold $670k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/116a-church-st-ryde-nsw-2112-12587457,"116a Church St, Ryde",3,2,2,155m2,$1.20M,$1.30M,$575/w,$650/w,House 1993 144m2 155m2 Residential - A 192/DP865627 ,30 Sep 2020 Sold $910k,"26 Aug 2020 Listed for Sale $910,000",144m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/6-35-frederick-st-ryde-nsw-2112-13346359,"6/35 Frederick St, Ryde",3,2,2,2485m2,$939k,$1.15M,,,House 1987 121m2 2485m2 Residential - A 1/SP32349 ,25 Sep 2020 Sold $1.05M,"25 Jun 2020 Listed for Sale For Sale $980,000 to $1,010,000",121m2,"25 Jun 2020 Listed for Sale For Sale $980,000 to $1,010,000"
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/35-anderson-ave-ryde-nsw-2112-21004514,"35 Anderson Ave, Ryde",-,-,-,,$1.60M,$1.80M,,,House ,25 Sep 2020 Sold $1.49M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/54-belmore-st-ryde-nsw-2112-13153797,"54 Belmore St, Ryde",4,3,2,713m2,$2.00M,$2.20M,$750/w,$850/w,House 1971 713m2 Residential - A 25/DP11918 ,24 Sep 2020 Sold $1.78M,19 Feb 2019 Listed for Rent DEPOSIT TAKEN,,10 Oct 2017 Rented $850
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-arnold-st-ryde-nsw-2112-13659005,"4 Arnold St, Ryde",4,2,2,642m2,$1.60M,$1.80M,$650/w,$750/w,House 1979 642m2 Residential - A 24/DP30761 ,24 Sep 2020 Sold ,13 Dec 2013 Sold $865k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/11-hinkler-ave-ryde-nsw-2112-11991899,"11 Hinkler Ave, Ryde",4,1,1,607m2,$1.80M,$2.00M,$650/w,$750/w,House 1980 607m2 Residence Residential - A 28/16013 ,19 Sep 2020 Sold $1.84M,19 Sep 2011 Sold $915k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/5-hancott-st-ryde-nsw-2112-3296349,"5 Hancott St, Ryde",2,1,1,613m2,$1.40M,$1.50M,$425/w,$500/w,House 1980 613m2 Residential - A 1/173079 ,18 Sep 2020 Sold $1.40M,12 Sep 2019 Sold $1.32M,,22 Aug 2008 Sold $580k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/7-badajoz-rd-ryde-nsw-2112-13380665,"7 Badajoz Rd, Ryde",4,2,3,935m2,$1.80M,$2.00M,$650/w,$750/w,House 1979 935m2 Residential - A B/DP380470 ,17 Sep 2020 Sold ,26 Aug 2016 Sold $1.64M,,27 Aug 1991 Sold $272k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/8-betola-st-ryde-nsw-2112-13326420,"8 Betola St, Ryde",4,1,2,586m2,$1.30M,$1.40M,$575/w,$650/w,House 1981 586m2 Residential - A 8/DP29806 ,16 Sep 2020 Sold $1.23M,"27 Aug 2020 Listed for Sale Sold for $1,231,000",,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/10-thorn-st-ryde-nsw-2112-12367251,"10 Thorn St, Ryde",5,3,2,575m2,$1.80M,$2.00M,$425/w,$500/w,House 1980 575m2 Residential - A 28/DP21357 ,15 Sep 2020 Sold ,04 Aug 2020 Listed for Sale SOLD BY NICK MATULIC – ANOTHER PREMIUM RESULT,,17 Aug 2018 Sold $1.23M
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/3-lyle-st-ryde-nsw-2112-2110360,"3 Lyle St, Ryde",4,2,1,613m2,$1.60M,$1.80M,$500/w,$575/w,House 2005 613m2 Residential - A 12/30707 ,14 Sep 2020 Sold $1.40M,25 Feb 2005 Sold $720k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/36-samuel-st-ryde-nsw-2112-2216881,"36 Samuel St, Ryde",2,1,4,569m2,$1.50M,$1.60M,$575/w,$650/w,House 1960 569m2 Residence Residential - A 54/27143 ,10 Sep 2020 Sold $1.47M,15 Apr 2019 Sold $1.28M,,"18 Feb 2019 Listed for Sale For Sale $1,300,000"
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/36-pooley-st-ryde-nsw-2112-4574638,"36 Pooley St, Ryde",3,1,2,487m2,$1.40M,$1.50M,$650/w,$750/w,House 1950 100m2 487m2 Residence Residential - A 35/26692 ,10 Sep 2020 Sold ,16 Jul 2020 Listed for Sale SOLD,100m2,25 Oct 2010 Sold $795k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/8-addington-ave-ryde-nsw-2112-4985466,"8 Addington Ave, Ryde",2,1,1,580m2,$1.80M,$2.00M,$500/w,$575/w,House 1930 7m2 580m2 Residence Residential - A 124/10504 ,10 Sep 2020 Sold $2.95M,12 Jan 2019 Sold $1.14M,7m2,"02 Nov 2018 Listed for Sale Buyers Guide $1,195,000"
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/8-neville-st-ryde-nsw-2112-13292700,"8 Neville St, Ryde",4,2,2,690m2,$1.50M,$1.60M,$575/w,$650/w,House 1982 690m2 Residential - A 48/DP36579 ,09 Sep 2020 Sold ,13 Jan 1982 Sold $84k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/40-lane-cove-rd-ryde-nsw-2112-13691908,"40 Lane Cove Rd, Ryde",4,1,4,626m2,$1.20M,$1.30M,$575/w,$650/w,House 1980 8m2 626m2 Residential - A 7/11609 ,08 Sep 2020 Sold $1,12 Jan 2017 Rented $650,8m2,19 May 2016 Rented $720
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/12-frederick-st-ryde-nsw-2112-13600899,"12 Frederick St, Ryde",2,1,1,771m2,$1.60M,$1.80M,$425/w,$500/w,House 1978 771m2 Residential - A 178/DP8721 ,03 Sep 2020 Sold ,19 Aug 2020 Listed for Sale Auction | Robert Bagala 0418 220 882,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/6-neville-st-ryde-nsw-2112-2182311,"6 Neville St, Ryde",4,2,2,693m2,$1.80M,$2.00M,$750/w,$850/w,House 1950 181m2 693m2 Residential - A 47/36579 ,27 Aug 2020 Sold $1.75M,26 Aug 2005 Sold $657k,181m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/15-primrose-ave-ryde-nsw-2112-4427364,"15 Primrose Ave, Ryde",5,3,1,520m2,$2.20M,$2.40M,$575/w,$650/w,House 2013 319m2 520m2 Residence Residential - A 100/10504 ,27 Aug 2020 Sold ,27 Feb 2003 Sold $530k,319m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/25-acacia-ave-ryde-nsw-2112-13204904,"25 Acacia Ave, Ryde",5,3,2,624m2,$2.40M,$2.60M,$1100/w,$1250/w,House 1995 286m2 624m2 Residential - A 16/DP16218 ,15 Aug 2020 Sold $2.35M,30 Mar 2020 Listed for Sale NOW SELLING | Fred Jabbour 0417 211 885,286m2,22 May 2019 Listed for Rent **DEPOSIT TAKEN**
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/66-woodbine-cres-ryde-nsw-2112-5709381,"66 Woodbine Cres, Ryde",4,2,2,324m2,$1.80M,$2.00M,$575/w,$650/w,House 1950 221m2 324m2 Residence Residential - A 9/23652 ,15 Aug 2020 Sold $1.76M,02 Oct 2009 Sold $733k,221m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/314-blaxland-rd-ryde-nsw-2112-13234352,"314 Blaxland Rd, Ryde",3,2,2,898m2,$1.60M,$1.80M,$425/w,$500/w,House 1968 898m2 Residential - A C/DP322336 ,13 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/7-irvine-cres-ryde-nsw-2112-19602468,"7 Irvine Cres, Ryde",4,2,1,580m2,$1.50M,$1.83M,,,House 2016 580m2 ,13 Aug 2020 Sold $1.52M,15 Mar 2018 Listed for Rent $920 PW,,18 Oct 2016 Sold $1.55M
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-forrest-rd-ryde-nsw-2112-11052230,"4 Forrest Rd, Ryde",3,1,2,696m2,$1.60M,$1.80M,$500/w,$575/w,House 1950 696m2 Residence Residential - A 10/9511 ,11 Aug 2020 Sold ,29 Apr 2011 Sold $860k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/22-aitchandar-rd-ryde-nsw-2112-12481426,"22 Aitchandar Rd, Ryde",3,2,2,551m2,$1.60M,$1.80M,$575/w,$650/w,House 1979 551m2 Residential - A 2/DP1151120 ,11 Aug 2020 Sold $1.65M,10 Oct 1979 Sold $57k,,10 Oct 1979 Sold $57k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/34-bruce-st-ryde-nsw-2112-12823065,"34 Bruce St, Ryde",3,1,1,654m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 8m2 654m2 Residential - A 79/DP12999 ,10 Aug 2020 Sold ,28 Oct 2019 Sold ,8m2,15 Aug 2016 Sold 
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/39-kulgoa-ave-ryde-nsw-2112-13067983,"39 Kulgoa Ave, Ryde",3,2,2,500m2,$1.30M,$1.40M,$425/w,$500/w,House 1978 500m2 Residential - A 1/DP221354 ,08 Aug 2020 Sold $1.32M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/40-fawcett-st-ryde-nsw-2112-13590584,"40 Fawcett St, Ryde",2,1,2,512m2,$1.30M,$1.40M,$575/w,$650/w,House 1960 107m2 512m2 Residential - A 24/29029 ,08 Aug 2020 Sold $1.33M,11 Dec 1998 Sold $288k,107m2,18 Jul 1991 Sold $209k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/37-kuppa-rd-ryde-nsw-2112-2266708,"37 Kuppa Rd, Ryde",5,3,2,817m2,$2.60M,$2.80M,$950/w,$1100/w,House 2007 330m2 817m2 Residential - A 2/504621 ,08 Aug 2020 Sold $2.99M,08 May 2006 Sold $671k,330m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/89-bridge-rd-ryde-nsw-2112-2323232,"89 Bridge Rd, Ryde",5,3,2,923m2,$2.00M,$2.20M,$850/w,$950/w,House 1960 195m2 923m2 Residence Residential - A 13/13850 ,08 Aug 2020 Sold ,"15 Jul 2020 Listed for Sale Guide $1,950,000 -Auct 8/8/20 at 9am",195m2,31 Jan 2011 Sold $958k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-3-badajoz-rd-ryde-nsw-2112-20983238,"4/3 Badajoz Rd, Ryde",3,2,1,,$1.20M,$1.30M,,,House ,07 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/28-pooley-st-ryde-nsw-2112-3765344,"28 Pooley St, Ryde",3,1,1,474m2,$1.40M,$1.50M,$575/w,$650/w,House 1950 474m2 Residential - A 39/26692 ,07 Aug 2020 Sold ,25 Aug 2014 Sold $975k,,09 Aug 2014 Rented $650
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/91-bridge-rd-ryde-nsw-2112-13069815,"91 Bridge Rd, Ryde",4,2,2,940m2,$1.80M,$2.00M,$500/w,$575/w,House 1985 940m2 Residential - A 12/DP13850 ,06 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/18-wandoo-ave-ryde-nsw-2112-13333000,"18 Wandoo Ave, Ryde",3,1,2,307m2,$1.60M,$1.80M,$425/w,$500/w,House 1950 183m2 307m2 Residential - A 9/14577 ,05 Aug 2020 Sold ,12 Aug 1996 Sold $280k,183m2,12 Aug 1996 Sold $280k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/74-quarry-rd-ryde-nsw-2112-13660451,"74 Quarry Rd, Ryde",3,2,1,893m2,$1.60M,$1.80M,$500/w,$575/w,House 1980 893m2 Residential - A 2/DP419496 ,05 Aug 2020 Sold ,26 Sep 1980 Sold $73k,,26 Sep 1980 Sold $73k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/18-bygrave-st-ryde-nsw-2112-13534284,"18 Bygrave St, Ryde",3,2,1,619m2,$1.50M,$1.60M,$575/w,$650/w,House 1979 619m2 Residential - A 10/DP27059 ,04 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/91-lane-cove-rd-ryde-nsw-2112-12935875,"91 Lane Cove Rd, Ryde",3,1,1,662m2,$1.40M,$1.50M,$575/w,$650/w,House 1976 662m2 Residential - A 14/DP15466 ,31 Jul 2020 Sold $1.10M,23 Oct 2019 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/26-goulding-rd-ryde-nsw-2112-4407175,"26 Goulding Rd, Ryde",3,2,1,550m2,$1.50M,$1.60M,$750/w,$850/w,House 1989 550m2 Residence Residential - A 2/510079 ,29 Jul 2020 Sold ,28 Apr 2003 Sold $540k,,21 Jul 1989 Sold $180k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/42b-aeolus-ave-ryde-nsw-2112-14003694,"42b Aeolus Ave, Ryde",3,1,1,755m2,$1.40M,$1.50M,,,House 1979 755m2 Residential - A 61/DP12753 ,27 Jul 2020 Sold $1.56M,19 Oct 1987 Sold $60k,,15 Jun 1984 Sold $74k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/17-bird-st-ryde-nsw-2112-3147326,"17 Bird St, Ryde",3,1,2,537m2,$1.40M,$1.50M,$650/w,$750/w,House 1960 94m2 537m2 Residence Residential - A 90/35625 ,25 Jul 2020 Sold $1.45M,25 Jun 2020 Listed for Sale Sold by Neil Robson 0414 598 554,94m2,07 Dec 2012 Sold $740k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/42a-aeolus-ave-ryde-nsw-2112-14002867,"42a Aeolus Ave, Ryde",3,1,1,,$1.30M,$1.40M,,,House Residential - A 61/DP12753 ,24 Jul 2020 Sold $1.38M,06 Dec 2016 Rented $750,,24 Nov 2016 Listed for Rent $775
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/15-milne-st-ryde-nsw-2112-4815088,"15 Milne St, Ryde",4,2,2,556m2,$1.40M,$1.50M,$575/w,$650/w,House 1980 556m2 Residential - A 26/35625 ,24 Jul 2020 Sold ,28 Apr 1999 Sold $330k,,21 May 1980 Sold $70k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/107-bridge-rd-ryde-nsw-2112-13621026,"107 Bridge Rd, Ryde",4,2,2,917m2,$1.43M,$2.15M,$500/w,$575/w,House 1993 917m2 Residential - A 4/13850 ,23 Jul 2020 Sold ,10 Nov 1993 Sold $255k,,10 Nov 1993 Sold $255k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/24-bright-st-ryde-nsw-2112-13700788,"24 Bright St, Ryde",3,1,2,584m2,$1.50M,$1.60M,$575/w,$650/w,House 1981 584m2 Residential - A 38/DP16614 ,23 Jul 2020 Sold $1.40M,"08 Jul 2020 Listed for Sale $1,350,000 | Robert Bagala 0418 220 882",,30 Jan 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/14b-ratcliffe-st-ryde-nsw-2112-20388172,"14b Ratcliffe St, Ryde",5,3,1,239m2,$1.60M,$1.80M,$575/w,$650/w,House 1978 239m2 ,18 Jul 2020 Sold $1.80M,24 Jun 2020 Listed for Sale Sold At Auction,,18 Jan 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-heath-st-ryde-nsw-2112-13143987,"4 Heath St, Ryde",4,2,1,984m2,$1.60M,$1.80M,$650/w,$750/w,House 1978 984m2 Residential - A 30/DP27088 ,15 Jul 2020 Sold ,15 Jan 2020 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/39-pooley-st-ryde-nsw-2112-13144650,"39 Pooley St, Ryde",3,1,2,860m2,$1.60M,$1.80M,$650/w,$750/w,House 1950 112m2 860m2 Residential - A 23/26692 ,15 Jul 2020 Sold $1.80M,01 Jun 2015 Sold $1.36M,112m2,26 Sep 2013 Sold $920k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/99-north-rd-ryde-nsw-2112-13677041,"99 North Rd, Ryde",3,1,1,632m2,$1.30M,$1.40M,$650/w,$750/w,House 1979 632m2 Residential - A 25/DP160326 ,11 Jul 2020 Sold $1.34M,22 Jan 2016 Sold $1.20M,,24 Sep 2009 Sold $950k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/32-nerang-st-ryde-nsw-2112-2147225,"32 Nerang St, Ryde",4,2,2,575m2,$1.80M,$2.00M,$500/w,$575/w,House 1997 575m2 Residential - A 5/30097 ,09 Jul 2020 Sold $2.17M,20 May 2005 Sold $940k,,14 Mar 1997 Sold $240k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/10-gardener-ave-ryde-nsw-2112-13148566,"10 Gardener Ave, Ryde",4,2,2,693m2,$1.60M,$1.80M,$575/w,$650/w,House 1978 693m2 Residential - A 10/DP13732 ,08 Jul 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/34-kulgoa-ave-ryde-nsw-2112-13603451,"34 Kulgoa Ave, Ryde",5,3,2,804m2,$1.80M,$2.00M,$650/w,$750/w,House 1981 804m2 Residential - A 42/DP6729 ,08 Jul 2020 Sold ,25 Dec 2017 Sold ,,20 May 1981 Sold $67k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/30-samuel-st-ryde-nsw-2112-19347244,"30 Samuel St, Ryde",3,1,2,569m2,$1.40M,$1.50M,$650/w,$750/w,House 1978 569m2 Residential - A 57/DP27143 ,"12 Aug 2020 Listed for Sale $1,380,000",06 Jul 2020 Sold ,,14 Feb 2019 Sold 
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/8-elizabeth-st-ryde-nsw-2112-12742849,"8 Elizabeth St, Ryde",3,1,2,670m2,$1.60M,$1.80M,$575/w,$650/w,House 1978 8m2 670m2 Residential - A 175/DP12999 ,09 Jul 2020 Listed for Sale AUCTION  ON-SITE,04 Jul 2020 Sold $1.68M,8m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/5-shepherd-st-ryde-nsw-2112-4478883,"5 Shepherd St, Ryde",2,1,1,545m2,$1.60M,$1.80M,$500/w,$575/w,House 1950 107m2 545m2 Residence Residential - A 3/321015 ,04 Jul 2020 Sold $2.17M,09 Jul 2012 Sold $750k,107m2,25 Nov 2002 Sold $535k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/31-wolger-rd-ryde-nsw-2112-12472331,"31 Wolger Rd, Ryde",2,2,2,879m2,$2.00M,$2.20M,$500/w,$575/w,House 1997 879m2 Residence Residential - A 30/11609 ,03 Jul 2020 Sold $1.63M,10 Jan 2013 Sold $870k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/10-keppel-rd-ryde-nsw-2112-13086845,"10 Keppel Rd, Ryde",4,2,2,667m2,$1.60M,$1.80M,$575/w,$650/w,House 1982 8m2 667m2 Residential - A 236/DP12999 ,03 Jul 2020 Sold $1.39M,14 Dec 1982 Sold $90k,8m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/32-irvine-cres-ryde-nsw-2112-13480285,"32 Irvine Cres, Ryde",5,2,2,569m2,$2.00M,$2.20M,$850/w,$950/w,House 2000 270m2 569m2 Residential - A 16/DP19018 ,03 Jul 2020 Sold ,03 Apr 2018 Sold $1.95M,270m2,18 Jan 2018 Listed for Sale 1950000
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/33-wolger-rd-ryde-nsw-2112-5640453,"33 Wolger Rd, Ryde",3,1,2,708m2,$1.50M,$1.60M,$500/w,$575/w,House 1950 105m2 708m2 Residence Residential - A 31/11609 ,03 Jul 2020 Sold $1.63M,01 Mar 2010 Sold $700k,105m2,28 Apr 1995 Sold $207k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/14-wandoo-ave-ryde-nsw-2112-13006542,"14 Wandoo Ave, Ryde",4,3,4,649m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 649m2 Residential - A B/361743 ,26 Jun 2020 Sold $1.54M,18 Aug 1992 Sold $163k,,18 Aug 1992 Sold $163k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/9-richard-johnson-cres-ryde-nsw-2112-12773545,"9 Richard Johnson Cres, Ryde",2,1,2,500m2,$1.40M,$1.50M,$350/w,$425/w,House 1993 500m2 Residential - A 34/21357 ,19 Jun 2020 Sold $1.20M,06 Apr 2020 Listed for Sale Sold Before Auction,,22 Apr 1993 Sold $110k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/5-macleay-st-ryde-nsw-2112-13464436,"5 Macleay St, Ryde",4,2,2,688m2,$1.60M,$1.80M,$575/w,$650/w,House 1990 8m2 688m2 Residential - A 163/DP12999 ,19 Jun 2020 Sold $1.72M,27 Apr 1990 Sold $236k,8m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/27b-aeolus-ave-ryde-nsw-2112-20947025,"27b Aeolus Ave, Ryde",-,-,-,,$1.80M,$2.00M,,,House ,19 Jun 2020 Sold $1.84M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/38-greene-ave-ryde-nsw-2112-13787854,"38 Greene Ave, Ryde",3,1,2,726m2,$1.80M,$2.00M,$650/w,$750/w,House 1979 726m2 Residential - A 36/10373 ,13 Jun 2020 Sold $1.95M,25 Mar 2019 Sold $650k,,19 Nov 1987 Sold $70k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/222-buffalo-rd-ryde-nsw-2112-2144664,"222 Buffalo Rd, Ryde",4,2,2,678m2,$1.50M,$1.60M,$575/w,$650/w,House 1955 140m2 678m2 Residential - A 19/13758 ,13 Jun 2020 Sold $1.45M,26 May 2005 Sold $853k,140m2,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/2-parkes-st-ryde-nsw-2112-4814670,"2 Parkes St, Ryde",3,1,1,253m2,$1.34M,$1.64M,,,House 1940 138m2 253m2 Residential - A 142/10504 ,09 Jun 2020 Sold ,21 Jun 2017 Sold $1.75M,138m2,18 Oct 1999 Sold $337k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/14-parry-st-ryde-nsw-2112-5943471,"14 Parry St, Ryde",5,4,2,828m2,$2.60M,$2.80M,$850/w,$950/w,House 1987 828m2 Residence Residential - A 112/8562 ,09 Jun 2020 Sold ,16 Mar 2019 Sold $2.23M,,05 Feb 2019 Listed for Sale SOLD
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/30-gladstone-ave-ryde-nsw-2112-4240446,"30 Gladstone Ave, Ryde",3,1,1,467m2,$1.40M,$1.50M,$575/w,$650/w,House 1940 90m2 467m2 Residence Residential - A 11/29255 ,30 May 2020 Sold $1.43M,06 Mar 2009 Sold $665k,90m2,14 May 2004 Sold $655k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/5-baird-ave-ryde-nsw-2112-19581758,"5 Baird Ave, Ryde",4,2,2,607m2,$1.60M,$1.80M,$500/w,$575/w,House 1953 155m2 607m2 ,29 May 2020 Sold $1.64M,20 Feb 2020 Listed for Sale UNDER OFFER | Robert Bagala 0418 220 882,155m2,20 Dec 2010 Sold $900k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/20-north-rd-ryde-nsw-2112-20201258,"20 North Rd, Ryde",-,-,-,,$2.20M,$2.40M,$300/w,$350/w,House ,29 May 2020 Sold $2.05M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1-readford-pl-ryde-nsw-2112-11291078,"1 Readford Pl, Ryde",3,1,1,921m2,$1.60M,$1.80M,$500/w,$575/w,House 1998 921m2 Residence Residential - A 111/1031513 ,25 May 2020 Sold $1.97M,09 Mar 2011 Sold $750k,,09 Mar 2011 Sold $750k
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/4-milne-st-ryde-nsw-2112-13424656,"4 Milne St, Ryde",3,2,1,575m2,$1.30M,$1.40M,$500/w,$575/w,House 1979 575m2 Residential - A 9/DP35625 ,25 May 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/3-thorn-st-ryde-nsw-2112-13468913,"3 Thorn St, Ryde",5,3,3,763m2,$1.60M,$1.80M,$650/w,$750/w,House 1979 763m2 Residential - A 14/DP11038 ,21 May 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1-olivieri-pl-ryde-nsw-2112-13697063,"1 Olivieri Pl, Ryde",5,3,2,655m2,$1.60M,$1.80M,$575/w,$650/w,House 1977 655m2 Residential - A 1/DP253623 ,21 May 2020 Sold $1.13M,07 Sep 2018 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/9-pratten-ave-ryde-nsw-2112-4559140,"9 Pratten Ave, Ryde",5,2,2,681m2,$2.00M,$2.20M,$950/w,$1100/w,House 2002 681m2 Residence Residential - A 30/13758 ,21 May 2020 Sold $2.11M,08 Apr 2002 Sold $442k,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/7-stephen-ave-ryde-nsw-2112-12821777,"7 Stephen Ave, Ryde",5,3,3,853m2,$1.80M,$2.00M,$350/w,$425/w,House 1984 853m2 Residential - A 9/DP27345 ,16 May 2020 Sold $1.86M,,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/1-cross-st-ryde-nsw-2112-12627264,"1 Cross St, Ryde",3,2,1,528m2,$1.50M,$1.60M,$575/w,$650/w,House 1979 528m2 Residential - A B/DP396338 ,11 May 2020 Sold ,02 Mar 2019 Sold $1.30M,,06 Feb 2019 Listed for Sale Auction
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/13-fawcett-st-ryde-nsw-2112-13056249,"13 Fawcett St, Ryde",4,2,2,697m2,$1.60M,$1.80M,$650/w,$750/w,House 1957 697m2 Residential - A 10/DP29029 ,09 May 2020 Sold $1.77M,15 Dec 2017 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/43-frederick-st-ryde-nsw-2112-12572217,"43 Frederick St, Ryde",5,1,1,866m2,$1.60M,$1.80M,$750/w,$850/w,House 1980 866m2 Residence Residential - A 141/8721 ,01 May 2020 Sold $2.01M,31 Mar 2020 Listed for Sale Private Auction May 2nd at 11am,,12 Feb 2019 Listed for Rent DEPOSIT TAKEN
0,https://www.onthehouse.com.au/property/nsw/ryde-2112/27-constitution-rd-ryde-nsw-2112-13207285,"27 Constitution Rd, Ryde",4,2,2,297m2,$1.10M,$1.20M,$425/w,$500/w,House 1980 297m2 Residential - A B/445233 ,30 Apr 2020 Sold $950k,10 Aug 2015 Sold $730k,,26 Feb 1987 Sold $70k
