,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/207-excelsior-ave-castle-hill-nsw-2154-4859392,"207 Excelsior Ave, Castle Hill",5,2,4,240m2,923m2,$1.40M,$1.50M,$850/w,$950/w,House 1975 240m2 923m2 Residence Residential - A 2/548911 ,22 May 2020 Sold $1.53M,30 Sep 2011 Sold $770k,22 May 2009 Sold $655k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/4-narelle-ave-castle-hill-nsw-2154-13563373,"4 Narelle Ave, Castle Hill",5,3,2,,761m2,$1.50M,$1.60M,$500/w,$575/w,House 1985 761m2 Residential - A 5/DP230868 ,21 May 2020 Sold ,25 Mar 1985 Sold $93k,25 Mar 1985 Sold $93k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/43-yaringa-rd-castle-hill-nsw-2154-13443302,"43 Yaringa Rd, Castle Hill",4,3,2,,907m2,$1.20M,$1.30M,$850/w,$950/w,House 1984 907m2 Residential - A 27/717820 ,20 May 2020 Sold $1.25M,11 Jun 1998 Sold $315k,11 Jun 1998 Sold $315k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/28-carramarr-rd-castle-hill-nsw-2154-4690806,"28 Carramarr Rd, Castle Hill",4,3,2,,695m2,$1.50M,$1.60M,$650/w,$750/w,House 1980 695m2 Residence Residential - A 66/233694 ,18 May 2020 Sold $1.58M,22 Aug 2017 Sold $1.60M,17 Nov 2000 Sold $403k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/63-2--4-purser-ave-castle-hill-nsw-2154-14121866,"63/2-4 Purser Ave, Castle Hill",2,2,2,139m2,187m2,$900k,$1.00M,$575/w,$650/w,Unit 2006 139m2 187m2 Residential - A 63/SP76430 ,24 Jun 2020 Listed for Rent $680 per week,16 May 2020 Sold $935k,"09 Apr 2020 Listed for Sale $935,000"
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/12-4--6-mercer-st-castle-hill-nsw-2154-14121411,"12/4-6 Mercer St, Castle Hill",2,2,2,,4720m2,$800k,$900k,$500/w,$575/w,Unit 2004 4720m2 Residential - A 12/SP73120 ,15 May 2020 Sold ,04 Sep 2018 Listed for Rent $510 pw,04 Sep 2018 Listed for Rent $510 pw
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/5-helissio-pl-castle-hill-nsw-2154-4451282,"5 Helissio Pl, Castle Hill",2,1,1,,653m2,$1.80M,$2.00M,$500/w,$575/w,House 2002 653m2 Residence Residential - A 326/DP1042906 ,13 May 2020 Sold $1.86M,11 Dec 2002 Sold $395k,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/19a-wiseman-rd-castle-hill-nsw-2154-13653058,"19a Wiseman Rd, Castle Hill",4,3,2,190m2,1372m2,$1.60M,$1.80M,$650/w,$750/w,House 1930 190m2 1372m2 Residential - A 6/DP570147 ,11 May 2020 Sold ,30 Mar 2016 Sold $1.52M,
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/6-lodgeworth-pl-castle-hill-nsw-2154-4586610,"6 Lodgeworth Pl, Castle Hill",5,3,2,347m2,600m2,$1.50M,$1.60M,$950/w,$1100/w,House 2003 347m2 600m2 Residence Residential - A 415/1033903 ,11 May 2020 Sold ,23 Mar 2015 Sold $1.31M,"29 Jan 2015 Listed for Sale $1,250,000 +"
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/73-david-rd-castle-hill-nsw-2154-5908328,"73 David Rd, Castle Hill",4,2,2,242m2,741m2,$1.50M,$1.60M,$650/w,$750/w,House 1990 242m2 741m2 Residential - A 9143/774962 ,11 May 2020 Sold $1.66M,27 Mar 2020 Listed for Sale Call Jack Bi if you need further market update,20 Dec 2013 Sold $875k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/35-cumberland-ave-castle-hill-nsw-2154-14927879,"35 Cumberland Ave, Castle Hill",3,2,2,135m2,938m2,$1.20M,$1.30M,$650/w,$750/w,House 1980 135m2 938m2 Residential - A 158/255043 ,08 May 2020 Sold ,21 Oct 2016 Sold $1.25M,01 Sep 2016 Listed for Sale Contact Agent
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/159-cecil-ave-castle-hill-nsw-2154-12911044,"159 Cecil Ave, Castle Hill",4,3,2,,765m2,$1.20M,$1.30M,$650/w,$750/w,House 1989 765m2 Residential - A 29/237701 ,07 May 2020 Sold $1.17M,18 Mar 2020 Listed for Sale SOLD,18 Mar 2020 Listed for Sale UNDER CONTRACT
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/10-8--14-mercer-st-castle-hill-nsw-2154-13939237,"10/8-14 Mercer St, Castle Hill",2,2,2,106m2,5625m2,$800k,$900k,$425/w,$500/w,Unit 2004 106m2 5625m2 Residential - A 10/SP71944 ,05 May 2020 Sold $802k,03 Mar 2015 Listed for Rent $450.00 per week,04 Apr 2012 Sold $450k
0,https://www.onthehouse.com.au/property/nsw/castle-hill-2154/13-barrawarn-pl-castle-hill-nsw-2154-2237938,"13 Barrawarn Pl, Castle Hill",3,1,1,,695m2,$1.50M,$1.60M,$575/w,$650/w,House 1970 695m2 Residence Residential - A 22/232658 ,05 May 2020 Sold $1.45M,09 Mar 2009 Sold $515k,17 Feb 2006 Sold $465k
