,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/156-north-rocks-rd-north-rocks-nsw-2151-2290380,"156 North Rocks Rd, North Rocks",1,1,3,796m2,$1.40M,$1.50M,$350/w,$425/w,House 1970 221m2 796m2 Residential - A 4/26589 ,25 Jul 2017 Sold $1.30M,16 May 2006 Sold $580k,12 Jan 1994 Sold $265k,221m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/32-blackburn-ave-north-rocks-nsw-2151-12376450,"32 Blackburn Ave, North Rocks",3,1,2,787m2,$1.20M,$1.30M,$350/w,$425/w,House 1970 174m2 787m2 Residential - A 1/DP1033716 ,10 Jul 2017 Sold $1.26M,,,174m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/9-carlton-rd-north-rocks-nsw-2151-12341047,"9 Carlton Rd, North Rocks",4,3,2,900m2,$1.50M,$1.60M,$650/w,$750/w,House 1970 207m2 900m2 Residential - A 2/263302 ,30 Jun 2017 Sold $1.55M,31 Oct 1984 Sold $63k,13 Mar 1984 Sold $60k,207m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/2-wentworth-ave-north-rocks-nsw-2151-4807593,"2 Wentworth Ave, North Rocks",2,1,2,727m2,$1.20M,$1.30M,$425/w,$500/w,House 1980 727m2 Residential - A 7/209485 ,30 Jun 2017 Sold $1.40M,05 Dec 1997 Sold $230k,19 Jan 1988 Sold $110k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/261-north-rocks-rd-north-rocks-nsw-2151-12396939,"261 North Rocks Rd, North Rocks",3,1,1,810m2,$1.10M,$1.20M,$650/w,$750/w,House 1970 130m2 810m2 Residential - A A/415386 ,23 Jun 2017 Sold $1.24M,13 Nov 2015 Listed for Rent $700.00 per week,08 Oct 2015 Sold $1,130m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/49-mill-dr-north-rocks-nsw-2151-9260251,"49 Mill Dr, North Rocks",3,1,2,767m2,$1.20M,$1.30M,$500/w,$575/w,House 1980 767m2 Residential - A 181/248615 ,23 Jun 2017 Sold $1.23M,"28 Apr 2017 Listed for Sale Sold $1,225,000",23 May 1996 Sold $214k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/24-larra-cres-north-rocks-nsw-2151-12294220,"24 Larra Cres, North Rocks",3,1,2,766m2,$1.20M,$1.30M,$575/w,$650/w,House 1980 766m2 Residential - A 133/248615 ,22 Jun 2017 Sold $1.17M,13 Nov 1987 Sold $150k,27 Sep 1985 Sold $115k,
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/178-north-rocks-rd-north-rocks-nsw-2151-19059685,"178 North Rocks Rd, North Rocks",4,2,1,1170m2,$1.20M,$1.30M,$500/w,$575/w,House 1970 155m2 1170m2 Residential - A 4/209262 ,21 Jun 2017 Sold $1.28M,15 Jan 2016 Sold $1.01M,"17 Sep 2015 Listed for Sale Offers above $999,000",155m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/3-whitbread-pl-north-rocks-nsw-2151-4667038,"3 Whitbread Pl, North Rocks",7,6,6,717m2,$1.60M,$1.80M,$575/w,$650/w,House 1979 500m2 717m2 Residence Residential - A 3/248626 ,20 Jun 2017 Sold $2.75M,08 May 2001 Sold $815k,,500m2
0,https://www.onthehouse.com.au/property/nsw/north-rocks-2151/4-whitbread-pl-north-rocks-nsw-2151-4667039,"4 Whitbread Pl, North Rocks",3,1,1,716m2,$1.00M,$1.10M,$300/w,$350/w,House 1994 716m2 Residence Residential - A 4/248626 ,20 Jun 2017 Sold $2.75M,08 May 2001 Sold $815k,06 Apr 1994 Sold $577k,
