,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/138-cressy-rd-east-ryde-nsw-2113-13849164,"138 Cressy Rd, East Ryde",2,1,1,,833m2,$1.60M,$1.80M,$575/w,$650/w,House 1950 833m2 Residential - A 4/DP23288 ,12 Dec 2008 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/87-elliott-ave-east-ryde-nsw-2113-4031725,"87 Elliott Ave, East Ryde",3,1,3,90m2,575m2,$1.60M,$1.80M,$650/w,$750/w,House 1965 90m2 575m2 Residence Residential - A 387/31574 ,25 Nov 2008 Sold $773k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/77-cressy-rd-east-ryde-nsw-2113-3148905,"77 Cressy Rd, East Ryde",4,3,2,322m2,579m2,$2.40M,$2.60M,$575/w,$650/w,House 2018 322m2 579m2 Residential - A 228/30411 ,,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/6-rene-st-east-ryde-nsw-2113-3663130,"6 Rene St, East Ryde",3,1,2,242m2,663m2,$1.80M,$2.00M,$650/w,$750/w,House 1980 242m2 663m2 Residential - A 123/31574 ,01 Oct 2008 Sold $790k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/23-elliott-ave-east-ryde-nsw-2113-2482092,"23 Elliott Ave, East Ryde",4,1,1,,575m2,$1.50M,$1.60M,$650/w,$750/w,House 1965 575m2 Residential - A 263/30690 ,28 Sep 2007 Sold $746k,19 Jan 1998 Sold $405k,22 Oct 1985 Sold $139k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/10-lumsdaine-ave-east-ryde-nsw-2113-3328073,"10 Lumsdaine Ave, East Ryde",3,2,2,,575m2,$1.40M,$1.50M,$575/w,$650/w,House 2008 575m2 Residential - A 414/31253 ,,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/37-moncrieff-dr-east-ryde-nsw-2113-3360355,"37 Moncrieff Dr, East Ryde",3,1,2,,536m2,$1.60M,$1.80M,$650/w,$750/w,House 1960 536m2 Residential - A 313/31253 ,17 Jun 2008 Sold $695k,13 Aug 1992 Sold $251k,01 May 1981 Sold $88k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/1-blue-gum-dr-east-ryde-nsw-2113-3353590,"1 Blue Gum Dr, East Ryde",4,2,3,,925m2,$2.00M,$2.20M,$650/w,$750/w,House 1985 925m2 Residence Residential - A 4/263664 ,04 Jun 2008 Sold $1.23M,26 Jun 1987 Sold $229k,21 Dec 1984 Sold $47k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/7-jeanette-st-east-ryde-nsw-2113-2574815,"7 Jeanette St, East Ryde",3,1,1,162m2,562m2,$1.50M,$1.60M,$650/w,$750/w,House 1970 162m2 562m2 Residential - A 22/26556 ,14 Apr 2008 Sold $740k,21 Dec 1998 Sold $346k,25 Nov 1993 Sold $246k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/128-cressy-rd-east-ryde-nsw-2113-4815302,"128 Cressy Rd, East Ryde",4,3,1,216m2,626m2,$1.80M,$2.00M,$575/w,$650/w,House 1980 216m2 626m2 Residence Residential - A 1/227338 ,04 Apr 2008 Sold $1.00M,29 Jun 1999 Sold $490k,09 Jun 1982 Sold $83k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/2-long-ave-east-ryde-nsw-2113-2551534,"2 Long Ave, East Ryde",3,2,1,,537m2,$1.80M,$2.00M,$425/w,$500/w,House 1987 537m2 Residential - A 63/26163 ,14 Feb 2008 Sold $855k,18 Dec 1987 Sold $185k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/9-moncrieff-dr-east-ryde-nsw-2113-2571560,"9 Moncrieff Dr, East Ryde",3,1,2,,575m2,$1.50M,$1.60M,$650/w,$750/w,House 1980 575m2 Residential - A 298/31194 ,25 Jan 2008 Sold $780k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/1-140a-cressy-rd-east-ryde-nsw-2113-2546880,"1/140a Cressy Rd, East Ryde",3,2,1,85m2,834m2,$1.10M,$1.20M,$575/w,$650/w,House 1991 85m2 834m2 Residential - A ,30 Jan 2020 Listed for Rent $640 Per Week,30 Jan 2020 Listed for Rent $640,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/1-bronhill-ave-east-ryde-nsw-2113-2539866,"1 Bronhill Ave, East Ryde",4,2,2,167m2,980m2,$1.80M,$2.00M,$950/w,$1100/w,House 1975 167m2 980m2 Residential - A 2/522557 ,13 Sep 2018 Listed for Rent ** DEPOSIT TAKEN **,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/5-jeanette-st-east-ryde-nsw-2113-4748221,"5 Jeanette St, East Ryde",3,2,2,168m2,588m2,$1.60M,$1.80M,$650/w,$750/w,House 1970 168m2 588m2 Residential - A 23/26556 ,15 Jan 2008 Sold $838k,30 Jul 2000 Sold $415k,27 Sep 1988 Sold $203k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/75-elliott-ave-east-ryde-nsw-2113-2515453,"75 Elliott Ave, East Ryde",4,2,2,,575m2,$1.80M,$2.00M,$750/w,$850/w,House 1979 575m2 Residential - A 381/31253 ,28 Nov 2007 Sold $900k,18 Dec 1979 Sold $103k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/14-fox-rd-east-ryde-nsw-2113-2067257,"14 Fox Rd, East Ryde",3,1,1,,670m2,$1.60M,$1.80M,$650/w,$750/w,House 1978 670m2 Residential - A 7/30679 ,19 Nov 2007 Sold $745k,02 Nov 2004 Sold $702k,25 Nov 1978 Sold $58k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/17-fox-rd-east-ryde-nsw-2113-2507283,"17 Fox Rd, East Ryde",3,3,1,139m2,575m2,$1.24M,$1.86M,$950/w,$1100/w,House 2012 139m2 575m2 Residential - A 17/30679 ,27 Jan 1984 Sold $85k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/48-long-ave-east-ryde-nsw-2113-2521318,"48 Long Ave, East Ryde",3,2,1,,765m2,$2.20M,$2.40M,$750/w,$850/w,House 2004 765m2 Residence Residential - A 40/26163 ,26 Oct 2007 Sold $805k,16 Feb 2004 Sold $662k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/39-elliott-ave-east-ryde-nsw-2113-2528221,"39 Elliott Ave, East Ryde",3,1,3,,575m2,$1.50M,$1.60M,$650/w,$750/w,House 1980 575m2 Residence Residential - A 255/30690 ,26 Oct 2007 Sold $760k,28 Sep 2001 Sold $558k,25 Nov 1994 Sold $200k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/14-bronhill-ave-east-ryde-nsw-2113-8176920,"14 Bronhill Ave, East Ryde",4,3,1,246m2,581m2,$2.00M,$2.20M,$850/w,$950/w,House 1997 246m2 581m2 Residential - A 7/223567 ,10 Oct 2007 Sold $718k,27 Jun 1997 Sold $335k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/9-rodney-st-east-ryde-nsw-2113-2485087,"9 Rodney St, East Ryde",4,2,1,154m2,670m2,$1.60M,$1.80M,$575/w,$650/w,House 1970 154m2 670m2 Residential - A 7/236893 ,05 Oct 2007 Sold $752k,04 Jun 1979 Sold $77k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/127-melba-dr-east-ryde-nsw-2113-2463786,"127 Melba Dr, East Ryde",4,2,2,209m2,1094m2,$2.20M,$2.40M,$850/w,$950/w,House 1970 209m2 1094m2 Residential - A 60/31463 ,31 Jul 2007 Sold $940k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/13-melba-dr-east-ryde-nsw-2113-4279384,"13 Melba Dr, East Ryde",5,3,2,,578m2,$2.00M,$2.20M,$650/w,$750/w,House 1966 578m2 Residence Residential - A 9/30690 ,27 Jul 2007 Sold $814k,13 Apr 2004 Sold $828k,15 Oct 1985 Sold $117k
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/51-cressy-rd-east-ryde-nsw-2113-19395677,"51 Cressy Rd, East Ryde",4,2,3,,575m2,$1.80M,$2.00M,$500/w,$575/w,House 1995 575m2 Residential - A 215/30411 ,22 May 2006 Sold $895k,30 Apr 2002 Sold $710k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/2c-wolfe-rd-east-ryde-nsw-2113-2424563,"2c Wolfe Rd, East Ryde",4,2,3,331m2,675m2,$2.20M,$2.40M,$950/w,$1100/w,House 2005 331m2 675m2 Residential - A 32/DP1062971 ,18 May 2007 Sold $1.17M,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/67-melba-dr-east-ryde-nsw-2113-2392424,"67 Melba Dr, East Ryde",3,2,2,,607m2,$1.60M,$1.80M,$950/w,$1100/w,House 1988 607m2 Residential - A 36/31253 ,02 Mar 1988 Sold $193k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/38-finch-ave-east-ryde-nsw-2113-2151393,"38 Finch Ave, East Ryde",3,2,2,,752m2,$1.80M,$2.00M,$650/w,$750/w,House 2005 752m2 Residential - A 3/239277 ,11 Dec 2006 Sold $785k,27 May 2005 Sold $728k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/28-moncrieff-dr-east-ryde-nsw-2113-2370289,"28 Moncrieff Dr, East Ryde",5,3,1,210m2,574m2,$2.00M,$2.20M,$575/w,$650/w,House 1950 210m2 574m2 Residential - A 135/30690 ,08 Dec 2006 Sold $760k,29 Aug 1984 Sold $95k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/312-pittwater-rd-east-ryde-nsw-2113-2368591,"312 Pittwater Rd, East Ryde",4,2,2,235m2,1284m2,$1.60M,$1.80M,$850/w,$950/w,House 1980 235m2 1284m2 Residential - A 1/9322 ,09 Nov 1992 Sold $426k,08 Feb 1980 Sold $84k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/23-moncrieff-dr-east-ryde-nsw-2113-2342267,"23 Moncrieff Dr, East Ryde",3,1,2,,575m2,$1.60M,$1.80M,$650/w,$750/w,House 1980 575m2 Residential - A 291/31194 ,12 Oct 2006 Sold $690k,,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/63-elliott-ave-east-ryde-nsw-2113-2345974,"63 Elliott Ave, East Ryde",4,2,2,215m2,616m2,$1.60M,$1.80M,$750/w,$850/w,House 1960 215m2 616m2 Residential - A 436/31253 ,29 Sep 2006 Sold $750k,30 Dec 1998 Sold $421k,
0,https://www.onthehouse.com.au/property/nsw/east-ryde-2113/7-long-ave-east-ryde-nsw-2113-2332206,"7 Long Ave, East Ryde",3,1,1,97m2,569m2,$1.50M,$1.60M,$575/w,$650/w,House 1960 97m2 569m2 Residential - A 4/26163 ,15 Sep 2006 Sold $587k,,
