,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/26-ursula-st-winston-hills-nsw-2153-13381631,"26 Ursula St, Winston Hills",3,1,1,,567m2,$900k,$1.00M,$500/w,$575/w,House 1980 567m2 Residential - A 540/DP236489 ,24 Aug 2020 Sold $957k,16 Jan 1980 Sold $62k,16 Jan 1980 Sold $62k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/103-model-farms-rd-winston-hills-nsw-2153-13341594,"103 Model Farms Rd, Winston Hills",2,1,1,,847m2,$1.10M,$1.20M,$500/w,$575/w,House 1979 847m2 Residential - A 5/213991 ,20 Aug 2020 Sold $900k,23 Jan 1998 Sold $180k,23 Jan 1998 Sold $180k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/8-twain-st-winston-hills-nsw-2153-13323048,"8 Twain St, Winston Hills",3,1,2,,582m2,$900k,$1.00M,$350/w,$425/w,House 1984 582m2 Residential - A 793/236126 ,18 Aug 2020 Sold $1.02M,11 Aug 2020 Listed for Sale Contact Agent | David Johnson,28 Jun 1984 Sold $85k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/74-naomi-st-winston-hills-nsw-2153-20939571,"74 Naomi St, Winston Hills",-,-,-,,,$1.10M,$1.20M,,,House ,17 Aug 2020 Sold $1.20M,12 Jun 2019 Sold ,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/90-lanhams-rd-winston-hills-nsw-2153-13270355,"90 Lanhams Rd, Winston Hills",3,1,1,114m2,606m2,$900k,$1.00M,$500/w,$575/w,House 1975 114m2 606m2 Residential - A 55/DP239253 ,15 Aug 2020 Sold $1.03M,24 Nov 1978 Sold $45k,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/15-agius-st-winston-hills-nsw-2153-13335821,"15 Agius St, Winston Hills",3,2,2,,1073m2,$1.10M,$1.20M,$500/w,$575/w,House 1978 1073m2 Residential - A 659/DP238853 ,14 Aug 2020 Sold ,02 Oct 2015 Sold ,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/18-whitefriars-way-winston-hills-nsw-2153-13038928,"18 Whitefriars Way, Winston Hills",-,-,-,,,$1.00M,$1.10M,$575/w,$650/w,House Residential - A 25/841273 ,12 Aug 2020 Sold $1.50M,,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/17-edinburgh-pl-winston-hills-nsw-2153-13441734,"17 Edinburgh Pl, Winston Hills",4,2,2,,569m2,$1.00M,$1.10M,$425/w,$500/w,House 1984 569m2 Residential - A 34/DP231049 ,12 Aug 2020 Sold $1.02M,20 Jul 2020 Listed for Sale SOLD,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/57-caroline-chisholm-dr-winston-hills-nsw-2153-4748000,"57 Caroline Chisholm Dr, Winston Hills",4,2,1,131m2,556m2,$900k,$1.00M,$500/w,$575/w,House 1978 131m2 556m2 Residential - A 818/236126 ,12 Aug 2020 Sold $1.00M,28 Aug 2018 Listed for Rent $575.00,26 May 2017 Rented $575
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/13-ulandi-pl-winston-hills-nsw-2153-12882349,"13 Ulandi Pl, Winston Hills",3,1,1,113m2,740m2,$1.00M,$1.10M,$575/w,$650/w,House 1975 113m2 740m2 Residence Residential - A 13/241037 ,08 Aug 2020 Sold $1.12M,08 Jul 2020 Listed for Sale SOLD,27 Sep 2012 Sold $540k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/7-madonna-st-winston-hills-nsw-2153-4813233,"7 Madonna St, Winston Hills",3,2,2,100m2,556m2,$1.00M,$1.10M,$575/w,$650/w,House 1980 100m2 556m2 Residence Residential - A 445/233445 ,04 Aug 2020 Sold $1.15M,"28 Jul 2020 Listed for Sale SOLD | for $1,150,000",17 Jan 2020 Sold 
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/44-edinburgh-pl-winston-hills-nsw-2153-2440716,"44 Edinburgh Pl, Winston Hills",3,1,2,,645m2,$1.00M,$1.10M,$650/w,$750/w,House 1980 645m2 Residential - A 5/234013 ,01 Aug 2020 Sold $1.09M,12 Jun 2007 Sold $535k,13 Dec 1991 Sold $207k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/17-romulus-st-winston-hills-nsw-2153-13474717,"17 Romulus St, Winston Hills",4,2,1,150m2,569m2,$1.10M,$1.20M,$575/w,$650/w,House 1970 150m2 569m2 Residential - A 1062/238063 ,31 Jul 2020 Sold $1.10M,01 Nov 1996 Sold $245k,08 Sep 1989 Sold $184k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/24-carmel-pl-winston-hills-nsw-2153-4263104,"24 Carmel Pl, Winston Hills",3,1,1,,575m2,$800k,$900k,$500/w,$575/w,House 1980 575m2 Residence Residential - A 1081/237396 ,25 Jul 2020 Sold $977k,23 May 2012 Sold $540k,04 Jun 2004 Sold $463k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/41-tennyson-st-winston-hills-nsw-2153-12686450,"41 Tennyson St, Winston Hills",3,1,2,,559m2,$900k,$1.00M,$500/w,$575/w,House 1981 559m2 Residential - A 645/DP228561 ,21 Jul 2020 Sold ,21 Mar 1984 Sold $92k,21 Mar 1984 Sold $92k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/126-model-farms-rd-winston-hills-nsw-2153-11047286,"126 Model Farms Rd, Winston Hills",4,2,2,196m2,700m2,$1.60M,$1.80M,$575/w,$650/w,House 2018 196m2 700m2 Residential - A 1/785252 ,18 Jul 2020 Sold $1.05M,13 Jun 2013 Sold $400k,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/1b-twain-st-winston-hills-nsw-2153-12714752,"1b Twain St, Winston Hills",3,1,1,,678m2,$900k,$1.00M,$575/w,$650/w,House 1979 678m2 Residential - A 3/DP547873 ,14 Jul 2020 Sold $490k,02 Jan 2020 Sold ,12 Mar 1979 Sold $59k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/10-latona-st-winston-hills-nsw-2153-12892403,"10 Latona St, Winston Hills",3,1,1,,613m2,$900k,$1.00M,$500/w,$575/w,House 1983 613m2 Residential - A 979/237551 ,10 Jul 2020 Sold $968k,02 Jul 2020 Listed for Sale SOLD | Contact Arthur 0410 394 573,20 Dec 1983 Sold $82k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/7-wilson-ave-winston-hills-nsw-2153-13086302,"7 Wilson Ave, Winston Hills",4,2,1,,718m2,$1.20M,$1.30M,$650/w,$750/w,House 1979 718m2 Residential - A 85/DP228084 ,09 Jul 2020 Sold $1.27M,,
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/9-bellona-st-winston-hills-nsw-2153-10227791,"9 Bellona St, Winston Hills",4,1,2,,632m2,$1.00M,$1.10M,$575/w,$650/w,House 1973 632m2 Residence Residential - A 732/242955 ,07 Jul 2020 Sold $1.11M,13 Dec 2010 Sold $580k,17 Nov 1995 Sold $214k
0,https://www.onthehouse.com.au/property/nsw/winston-hills-2153/6-mcdonald-ave-winston-hills-nsw-2153-12681600,"6 Mcdonald Ave, Winston Hills",4,2,1,183m2,708m2,$1.20M,$1.30M,$425/w,$500/w,House 1970 183m2 708m2 Residential - A 81/228084 ,07 Jul 2020 Sold ,16 Jun 2015 Sold $1.06M,"13 Apr 2015 Listed for Sale Offers Over $850,000"
