,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,year_type,Sold_History1,Sold_History2,Sold_History3,rent_low,rent_high
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/9-lawrence-st-west-ryde-nsw-2114-4410381,"9 Lawrence St, West Ryde",5,4,3,295m2,929m2,$2.40M,$2.60M,House 1995 295m2 929m2 Residence Residential - A 26/28606 ,09 Sep 2014 Sold $1.99M,17 Apr 2003 Sold $1.13M,26 Apr 2000 Sold $840k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1a-daphne-st-west-ryde-nsw-2114-4643025,"1a Daphne St, West Ryde",5,2,2,,959m2,$1.80M,$2.00M,House 2001 959m2 Residence Residential - A 11/30375 ,04 Sep 2014 Sold ,16 Aug 2001 Sold $618k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/25-moira-ave-west-ryde-nsw-2114-12414153,"25 Moira Ave, West Ryde",4,2,1,208m2,752m2,$1.80M,$2.00M,House 1920 208m2 752m2 Residential - A 21/11086 ,03 Sep 2014 Sold $1.17M,26 Oct 1990 Sold $210k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/23-deakin-st-west-ryde-nsw-2114-13213378,"23 Deakin St, West Ryde",3,1,2,165m2,1593m2,$2.00M,$2.20M,House 1950 165m2 1593m2 Residential - A 17/1095 ,27 Aug 2014 Sold $1.43M,18 Dec 1984 Sold $98k,17 Oct 1980 Sold $68k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3b-hermoyne-st-west-ryde-nsw-2114-14621984,"3b Hermoyne St, West Ryde",4,2,1,200m2,327m2,$1.50M,$1.60M,House 2004 200m2 327m2 ,27 Aug 2014 Sold $968k,,,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/4-bencoolen-ave-west-ryde-nsw-2114-2070843,"4 Bencoolen Ave, West Ryde",3,2,2,179m2,644m2,$1.60M,$1.80M,House 1920 179m2 644m2 Residential - A 55/8092 ,22 Aug 2014 Sold $1.44M,30 Sep 2012 Rented $760,19 Nov 2004 Sold $795k,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/6-forster-st-west-ryde-nsw-2114-12700676,"6 Forster St, West Ryde",4,2,2,250m2,809m2,$2.00M,$2.20M,House 1984 250m2 809m2 Residential - A 27/11340 ,26 Sep 2014 Rented $900,21 Aug 2014 Sold $1.50M,26 May 1988 Sold $162k,$950/w,$1100/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/54-adelaide-st-west-ryde-nsw-2114-13210587,"54 Adelaide St, West Ryde",4,2,3,,746m2,$1.40M,$1.50M,House 1960 746m2 Residential - A A/372767 ,20 Jun 2016 Rented $600,06 Jun 2016 Listed for Rent $660 per week,16 Apr 2016 Rented $600,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/5a-hermoyne-st-west-ryde-nsw-2114-19733166,"5a Hermoyne St, West Ryde",4,2,2,,938m2,$1.18M,$1.45M,House 1978 938m2 ,12 Aug 2014 Sold $380k,,,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/51-forsyth-st-west-ryde-nsw-2114-13499392,"51 Forsyth St, West Ryde",4,1,1,264m2,582m2,$2.00M,$2.20M,House 2014 264m2 582m2 Residential - A 2/1170671 ,08 Aug 2014 Sold $1.20M,,,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1126-victoria-rd-west-ryde-nsw-2114-12337177,"1126 Victoria Rd, West Ryde",3,1,2,121m2,291m2,$1.16M,$1.42M,House 1920 121m2 291m2 Residential - A 1/11061 ,07 Aug 2014 Sold $635k,,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/8-18--20-orchard-st-west-ryde-nsw-2114-13395397,"8/18-20 Orchard St, West Ryde",2,1,1,73m2,1195m2,$550k,$600k,House 1970 73m2 1195m2 Residential - A 8/SP7009 ,06 Aug 2014 Sold $560k,02 Aug 2007 Sold $325k,19 Feb 1982 Sold $70k,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/49-forsyth-st-west-ryde-nsw-2114-14581715,"49 Forsyth St, West Ryde",6,6,4,,585m2,$1.80M,$2.00M,House 1950 585m2 Residence Residential - A 1/1170671 ,06 Aug 2014 Sold $1.46M,12 Oct 2011 Sold $1.16M,,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/72-winbourne-st-west-ryde-nsw-2114-16023387,"72 Winbourne St, West Ryde",3,1,4,,,$1.60M,$1.80M,House 1980 Residential - A ,06 May 2015 Rented $560,11 Apr 2014 Rented $560,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/58-anzac-ave-west-ryde-nsw-2114-4531647,"58 Anzac Ave, West Ryde",4,2,2,208m2,494m2,$1.60M,$1.80M,House 1920 208m2 494m2 Residence Residential - A 1/854845 ,01 Aug 2014 Sold $1.25M,26 Nov 2013 Sold $1.08M,21 Jun 2002 Sold $651k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/968-victoria-rd-west-ryde-nsw-2114-13694926,"968 Victoria Rd, West Ryde",1,1,1,,252m2,$853k,$1.28M,House 1980 252m2 Business - B 3/791020 ,25 Jul 2014 Sold $680k,,,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/855-victoria-rd-west-ryde-nsw-2114-19808521,"855 Victoria Rd, West Ryde",5,3,1,,359m2,$1.50M,$2.03M,House 1991 359m2 ,25 Jul 2014 Sold $1.25M,23 Dec 1999 Sold $280k,21 Jun 1991 Sold $225k,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/25-fernvale-ave-west-ryde-nsw-2114-13815159,"25 Fernvale Ave, West Ryde",3,1,2,131m2,695m2,$1.60M,$1.80M,House 1940 131m2 695m2 Residential - A 206/12698 ,18 Jul 2014 Sold $1.28M,02 Sep 1988 Sold $217k,,$250/w,$300/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3a-hermoyne-st-west-ryde-nsw-2114-2521867,"3a Hermoyne St, West Ryde",4,2,2,,327m2,$1.40M,$1.50M,House 2007 327m2 Residential - A 431/DP1182191 ,16 Jul 2014 Sold ,13 Feb 2013 Sold $825k,14 Jan 2008 Sold $678k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1074-victoria-rd-west-ryde-nsw-2114-18949134,"1074 Victoria Rd, West Ryde",4,2,1,108m2,626m2,$1.60M,$1.80M,House 1950 108m2 626m2 Residential - A 23/11061 ,26 Mar 2012 Sold $596k,,,$150/w,$200/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1-fernvale-ave-west-ryde-nsw-2114-4453057,"1 Fernvale Ave, West Ryde",5,3,2,,644m2,$2.40M,$2.60M,House 2002 644m2 Residence Residential - A 50/8092 ,14 Jul 2014 Sold $1.93M,06 Dec 2002 Sold $591k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/2-66-brush-rd-west-ryde-nsw-2114-13641261,"2/66 Brush Rd, West Ryde",3,1,1,,940m2,$900k,$1.00M,House 1997 940m2 Residential - A 2/SP41838 ,18 Feb 2019 Listed for Rent $620 Per Week,08 Jul 2014 Sold $776k,19 Jan 2001 Sold $305k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/16-clifton-st-west-ryde-nsw-2114-4617475,"16 Clifton St, West Ryde",3,2,3,118m2,680m2,$1.50M,$1.60M,House 1960 118m2 680m2 Residence Residential - A 43/35933 ,"11 Jul 2018 Listed for Sale $1,600,000",02 Jul 2014 Sold $1.25M,01 Oct 2009 Sold $625k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/2-west-pde-west-ryde-nsw-2114-12968359,"2 West Pde, West Ryde",5,3,2,,177m2,$1.20M,$1.81M,House 1975 177m2 Business - B PT11/21393 ,15 Apr 1975 Sold $70k,,,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1020--1022-victoria-rd-west-ryde-nsw-2114-14069533,"1020-1022 Victoria Rd, West Ryde",2,1,1,2m2,670m2,$1.84M,$2.49M,House 1980 2m2 670m2 ,,,,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/14-murray-st-west-ryde-nsw-2114-2081943,"14 Murray St, West Ryde",3,2,2,118m2,766m2,$1.50M,$1.60M,House 1950 118m2 766m2 Residential - A 48/11086 ,06 May 2019 Listed for Rent Deposit Taken,10 Jun 2014 Sold $1.18M,07 Oct 2004 Sold $540k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/32-dickson-ave-west-ryde-nsw-2114-4815467,"32 Dickson Ave, West Ryde",2,1,1,,398m2,$1.13M,$1.69M,House 1980 398m2 Residential - A 1/850034 ,06 Jun 2014 Sold $375k,15 Dec 1999 Sold $100k,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/5-glenayr-ave-west-ryde-nsw-2114-2352418,"5 Glenayr Ave, West Ryde",3,1,2,113m2,480m2,$1.30M,$1.40M,House 1940 113m2 480m2 Residence Residential - A 103/19136 ,02 Jun 2014 Sold $988k,30 Oct 2006 Sold $610k,04 Feb 2003 Sold $510k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/855--857-victoria-rd-west-ryde-nsw-2114-14624482,"855-857 Victoria Rd, West Ryde",5,3,1,,715m2,$2.00M,$2.20M,House 715m2 Residential - A 1/445021 ,30 May 2014 Sold $1.25M,01 May 1999 Sold $495k,,$850/w,$950/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/67-ryedale-rd-west-ryde-nsw-2114-8219168,"67 Ryedale Rd, West Ryde",-,-,-,,253m2,$1.35M,$2.03M,House 253m2 Commercial Business - B 2/900290 ,25 Feb 2002 Sold $525k,17 Sep 1987 Sold $145k,29 May 1981 Sold $89k,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/74-falconer-st-west-ryde-nsw-2114-4381667,"74 Falconer St, West Ryde",3,2,1,,329m2,$1.00M,$1.10M,House 1995 329m2 Residence Residential - A 2/868387 ,23 May 2014 Sold $922k,04 Jul 2003 Sold $5.50M,16 Mar 2001 Sold $380k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/68-brush-rd-west-ryde-nsw-2114-4653412,"68 Brush Rd, West Ryde",3,2,3,129m2,929m2,$1.60M,$1.80M,House 1960 129m2 929m2 Residence Residential - A 3/20337 ,20 May 2014 Sold $932k,25 Jan 2013 Sold $738k,06 Apr 2001 Sold $350k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3-mondial-pl-west-ryde-nsw-2114-12960543,"3 Mondial Pl, West Ryde",4,2,3,,607m2,$1.60M,$1.80M,House 1980 607m2 Residential - A 3/250351 ,19 May 2014 Sold $1.35M,,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3-2-falconer-st-west-ryde-nsw-2114-18810112,"3/2 Falconer St, West Ryde",3,2,1,111m2,1630m2,$800k,$900k,House 1987 111m2 1630m2 Residential - A 3/SP32098 ,16 May 2014 Sold $764k,09 Jul 1987 Sold $138k,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/4-clifton-st-west-ryde-nsw-2114-5002572,"4 Clifton St, West Ryde",3,2,2,,720m2,$1.50M,$1.60M,House 1998 720m2 Residence Residential - A 49/35933 ,09 May 2014 Sold $1.00M,22 Jan 2010 Sold $685k,25 Mar 1998 Sold $297k,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1163-victoria-rd-west-ryde-nsw-2114-4723168,"1163 Victoria Rd, West Ryde",3,1,1,114m2,564m2,$1.20M,$1.30M,House 1950 114m2 564m2 Residential - A 2/128531 ,06 May 2014 Sold $801k,08 Feb 2001 Sold $315k,17 Dec 1999 Sold $275k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/7-adelaide-st-west-ryde-nsw-2114-2132763,"7 Adelaide St, West Ryde",3,1,3,135m2,613m2,$1.60M,$1.80M,House 1925 135m2 613m2 Residential - A 8/10400 ,02 May 2014 Sold $1.20M,18 Oct 2013 Sold $350k,22 Apr 2005 Sold $618k,$850/w,$950/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/66-hay-st-west-ryde-nsw-2114-2515996,"66 Hay St, West Ryde",4,2,2,194m2,461m2,$1.60M,$1.80M,House 2000 194m2 461m2 Residential - A 27/12291 ,02 May 2014 Sold $1.35M,11 Apr 2007 Sold $920k,28 Jul 1999 Sold $295k,$850/w,$950/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/5-mahon-st-west-ryde-nsw-2114-4393447,"5 Mahon St, West Ryde",4,2,2,,537m2,$1.60M,$1.80M,House 1984 537m2 Residence Residential - A 15/35308 ,28 Apr 2014 Sold $1.17M,03 Jun 2003 Sold $582k,21 Mar 1999 Sold $318k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/33-maxim-st-west-ryde-nsw-2114-9113328,"33 Maxim St, West Ryde",5,3,2,211m2,682m2,$1.80M,$2.00M,House 1970 211m2 682m2 Residence Residential - A 1/513008 ,28 Apr 2014 Sold $1.43M,20 Sep 2010 Sold $920k,15 Sep 1979 Sold $59k,$250/w,$300/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/4-74a-brush-rd-west-ryde-nsw-2114-13344337,"4/74a Brush Rd, West Ryde",3,2,2,,1228m2,$1.00M,$1.10M,House 2005 1228m2 Residential - A 4/SP60284 ,22 Apr 2014 Sold $810k,,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/51-gaza-rd-west-ryde-nsw-2114-12357670,"51 Gaza Rd, West Ryde",3,2,1,128m2,657m2,$1.40M,$1.50M,House 1968 128m2 657m2 Residential - A 3/9010 ,17 Apr 2014 Sold $955k,,,$500/w,$575/w
