,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,year_type,Sold_History1,Sold_History2,Sold_History3,rent_low,rent_high
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/2-105-constitution-rd-w-west-ryde-nsw-2114-14030627,"2/105 Constitution Rd W, West Ryde",3,2,1,166m2,1332m2,$863k,$1.29M,House 2005 166m2 1332m2 Residential - A 2/SP75854 ,26 Sep 2020 Sold $1.09M,28 Aug 2020 Listed for Sale Auction On Site September 26 at 1pm,28 Aug 2020 Listed for Sale Auction On Site September 26 at 1pm,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/67a-marsden-rd-west-ryde-nsw-2114-13997780,"67a Marsden Rd, West Ryde",4,2,2,,542m2,$1.20M,$1.30M,House 1990 542m2 Residential - A 2/DP1039275 ,24 Sep 2020 Sold ,22 Jul 2020 Listed for Sale SOLD,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/11a-eulalia-st-west-ryde-nsw-2114-2484178,"11a Eulalia St, West Ryde",3,2,1,140m2,300m2,$1.20M,$1.30M,House 2000 140m2 300m2 Residence Residential - A 21/844213 ,19 Sep 2020 Sold $1.22M,26 Sep 2007 Sold $550k,11 Jul 2002 Sold $492k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1b-andrew-st-west-ryde-nsw-2114-4492080,"1b Andrew St, West Ryde",3,2,1,145m2,293m2,$1.30M,$1.40M,House 1990 145m2 293m2 Residence Residential - A 2/854666 ,17 Sep 2020 Sold $1.30M,13 Mar 2017 Sold $1.26M,09 Oct 2002 Sold $512k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/34-dickson-ave-west-ryde-nsw-2114-13773602,"34 Dickson Ave, West Ryde",3,2,1,,449m2,$1.40M,$1.50M,House 1990 449m2 Residential - A 11/868412 ,14 Sep 2020 Sold ,19 Sep 1997 Sold $275k,19 Sep 1997 Sold $275k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/8-herbert-st-west-ryde-nsw-2114-12410127,"8 Herbert St, West Ryde",2,2,2,98m2,524m2,$1.40M,$1.50M,House 1920 98m2 524m2 Residence Residential - A 44/523505 ,11 Sep 2020 Sold ,19 Nov 2012 Sold $866k,02 Jun 1994 Sold $207k,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/69-moss-st-west-ryde-nsw-2114-12884488,"69 Moss St, West Ryde",2,1,2,,601m2,$1.50M,$1.60M,House 1950 601m2 Residence Residential - A 111/11061 ,31 Aug 2020 Sold $1.55M,28 Nov 2018 Listed for Rent $600 Per Week,27 Oct 2018 Sold $1.28M,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/9-terry-rd-west-ryde-nsw-2114-13381335,"9 Terry Rd, West Ryde",2,1,1,,330m2,$1.10M,$1.20M,House 1979 330m2 Residential - A 1/DP214049 ,31 Aug 2020 Sold ,03 Aug 2020 Listed for Sale Another Successful Sale by Nick Matulic!,03 Mar 2020 Sold ,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/41-bennett-st-west-ryde-nsw-2114-13642752,"41 Bennett St, West Ryde",4,1,2,,607m2,$1.60M,$1.80M,House 1978 607m2 Residential - A 78/DP11061 ,31 Aug 2020 Sold ,12 Aug 2020 Listed for Sale Auction Unless Sold Prior,31 May 2018 Sold $1.66M,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/6-farnell-st-west-ryde-nsw-2114-13256535,"6 Farnell St, West Ryde",4,2,2,,921m2,$2.20M,$2.40M,House 1979 921m2 Residential - A 10/DP28953 ,28 Aug 2020 Sold ,25 Oct 1999 Sold $388k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/5-55--57-winbourne-st-e-west-ryde-nsw-2114-14972970,"5/55-57 Winbourne St E, West Ryde",3,2,1,76m2,1866m2,$768k,$1.15M,House 2004 76m2 1866m2 Residential - A 5/SP73126 ,25 Aug 2020 Sold $965k,14 Jul 2020 Listed for Sale Contact Agent,30 Nov 2005 Sold $458k,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/9-deakin-st-west-ryde-nsw-2114-13234333,"9 Deakin St, West Ryde",3,1,1,,607m2,$2.00M,$2.20M,House 1996 607m2 Residential - A 14/12627 ,22 Aug 2020 Sold $1.93M,05 Nov 2019 Sold ,07 May 1996 Sold $220k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3-lawrence-st-west-ryde-nsw-2114-13274169,"3 Lawrence St, West Ryde",3,1,2,127m2,955m2,$1.50M,$1.60M,House 1960 127m2 955m2 Residential - A 20/DP28606 ,22 Aug 2020 Sold ,03 Jul 2019 Sold $1.40M,10 Apr 2019 Listed for Sale Contact Agent,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/911-victoria-rd-west-ryde-nsw-2114-9113325,"911 Victoria Rd, West Ryde",3,2,2,130m2,543m2,$1.50M,$1.60M,House 1910 130m2 543m2 Residence Residential - A 1/940603 ,22 Aug 2020 Sold $1.56M,20 Feb 2019 Sold ,06 Dec 2013 Sold $808k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/15-herbert-st-west-ryde-nsw-2114-13811018,"15 Herbert St, West Ryde",2,1,1,,510m2,$1.30M,$1.40M,House 1940 510m2 Residential - A 3/8041 ,18 Aug 2020 Sold ,02 Feb 1998 Sold $310k,20 Jan 1994 Sold $195k,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/55a-marsden-rd-west-ryde-nsw-2114-14719410,"55a Marsden Rd, West Ryde",4,3,2,,215m2,$1.30M,$1.40M,House 1978 215m2 Residential - A 3/DP1003055 ,15 Aug 2020 Sold $1.18M,23 Jul 2020 Listed for Sale Auction (if not sold prior),,,
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/20-morvan-st-west-ryde-nsw-2114-3163258,"20 Morvan St, West Ryde",4,2,1,,550m2,$1.60M,$1.80M,House 1988 550m2 Residence Residential - A 216/23812 ,08 Aug 2020 Sold $1.79M,"13 Jul 2020 Listed for Sale SOLD | for $1,787,000",14 Oct 2008 Sold $820k,$300/w,$350/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/44-moss-st-west-ryde-nsw-2114-13548450,"44 Moss St, West Ryde",4,3,2,,601m2,$1.50M,$1.60M,House 1984 601m2 Residential - A 43/10400 ,07 Aug 2020 Sold $1.55M,23 Oct 1985 Sold $117k,25 Jul 1984 Sold $98k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/46-mons-ave-west-ryde-nsw-2114-13014062,"46 Mons Ave, West Ryde",5,3,3,,531m2,$1.60M,$1.80M,House 1989 531m2 Residential - A A/420417 ,30 Jul 2020 Sold $1.73M,08 Jul 2020 Listed for Sale Auction On Site August 8 at 12pm,08 Dec 2016 Sold $900k,$950/w,$1100/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/86-bennett-st-west-ryde-nsw-2114-12826946,"86 Bennett St, West Ryde",4,2,3,150m2,627m2,$1.60M,$1.80M,House 1950 150m2 627m2 Residential - A 80/11061 ,25 Jul 2020 Sold $1.81M,01 Jul 2020 Listed for Sale DA Approved Duplex Site Auction - 25th July,26 Jul 2019 Sold $1.29M,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/39-federal-rd-west-ryde-nsw-2114-13081008,"39 Federal Rd, West Ryde",4,2,1,,999m2,$1.80M,$2.00M,House 1980 999m2 Residential - A 41/DP4609 ,21 Jul 2020 Sold ,,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/22-moira-ave-west-ryde-nsw-2114-13667035,"22 Moira Ave, West Ryde",4,2,2,,769m2,$1.40M,$1.50M,House 1979 769m2 Residential - A 14/DP11086 ,19 Jul 2020 Sold $1,17 Dec 2019 Sold ,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/22-fernvale-ave-west-ryde-nsw-2114-13694308,"22 Fernvale Ave, West Ryde",5,2,3,,713m2,$2.00M,$2.20M,House 1978 713m2 Residential - A 250/DP14053 ,18 Jul 2020 Sold $2.16M,18 Jun 2020 Listed for Sale Sold by Neil Robson 0414 598 554,,$950/w,$1100/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/4-herbert-st-west-ryde-nsw-2114-4815025,"4 Herbert St, West Ryde",2,1,1,100m2,583m2,$1.80M,$2.00M,House 1920 100m2 583m2 Residential - A 2/14627 ,11 Jul 2020 Sold $1.75M,14 Jan 2000 Sold $365k,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/58-bennett-st-west-ryde-nsw-2114-12993688,"58 Bennett St, West Ryde",5,3,3,,604m2,$1.40M,$1.50M,House 1980 604m2 Residential - A 96/DP11061 ,03 Jul 2020 Sold ,26 Jun 2019 Sold ,30 Oct 1980 Sold $177k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/15-linton-ave-west-ryde-nsw-2114-12337218,"15 Linton Ave, West Ryde",3,1,1,147m2,590m2,$2.00M,$2.20M,House 1940 147m2 590m2 Residential - A 33/DP8097 ,02 Jul 2020 Sold $2.31M,15 Jun 2019 Sold $1.34M,"14 May 2019 Listed for Sale $1,335,000",$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/7-deakin-st-west-ryde-nsw-2114-13344425,"7 Deakin St, West Ryde",3,1,1,,601m2,$1.60M,$1.80M,House 1978 601m2 Residential - A 15/DP12627 ,29 Jun 2020 Listed for Sale SOLD UNDER THE HAMMER,25 Jun 2020 Sold ,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/74-bennett-st-west-ryde-nsw-2114-2407467,"74 Bennett St, West Ryde",3,1,1,98m2,601m2,$1.50M,$1.60M,House 1940 98m2 601m2 Residence Residential - A 87/11061 ,20 Jun 2020 Sold $1.47M,"13 May 2020 Listed for Sale SOLD | for $1,471,000",21 Aug 2018 Listed for Rent $675.00,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/15-farnell-st-west-ryde-nsw-2114-12534718,"15 Farnell St, West Ryde",4,2,2,,1086m2,$1.37M,$2.05M,House 1979 1086m2 Residential - A 31/DP30394 ,18 Jun 2020 Sold ,,,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/47-bennett-st-west-ryde-nsw-2114-13263509,"47 Bennett St, West Ryde",2,1,2,,594m2,$1.40M,$1.50M,House 1980 594m2 Residential - A 39/DP12291 ,17 Jun 2020 Sold $1.43M,04 Jun 2020 Listed for Sale NOW SELLING | George Agostino 0418 289 682,24 Nov 1980 Sold $72k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/25-falconer-st-west-ryde-nsw-2114-12995074,"25 Falconer St, West Ryde",4,2,2,,343m2,$1.60M,$1.80M,House 1973 343m2 Residential - A 1/DP1072351 ,15 Jun 2020 Sold $1.76M,,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/17-hay-st-west-ryde-nsw-2114-2153328,"17 Hay St, West Ryde",4,2,2,152m2,613m2,$1.60M,$1.80M,House 1960 152m2 613m2 Residence Residential - A 36/11061 ,15 Jun 2020 Sold $1.67M,06 Aug 2010 Sold $770k,20 Jun 2005 Sold $550k,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/28-maxim-st-west-ryde-nsw-2114-13570237,"28 Maxim St, West Ryde",3,1,2,,1121m2,$1.80M,$2.00M,House 1980 1121m2 Residential - A 17/3646 ,12 Jun 2020 Sold $2.01M,08 May 1985 Sold $86k,08 May 1985 Sold $86k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/17-forster-st-west-ryde-nsw-2114-2101521,"17 Forster St, West Ryde",3,1,1,,601m2,$1.50M,$1.60M,House 1980 601m2 Residential - A A/375120 ,10 Jun 2020 Sold $1.39M,03 Oct 2018 Listed for Rent DEPOSIT TAKEN,08 Jan 2018 Listed for Rent ** DEPOSIT TAKEN **,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/26-morvan-st-west-ryde-nsw-2114-12944925,"26 Morvan St, West Ryde",4,2,2,,582m2,$1.20M,$1.30M,House 1987 582m2 Residential - A 202/23812 ,09 Jun 2020 Sold ,30 Mar 1995 Sold $226k,30 Mar 1995 Sold $226k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/24-moss-st-west-ryde-nsw-2114-4711569,"24 Moss St, West Ryde",3,1,1,,627m2,$1.30M,$1.40M,House 2009 627m2 Residence Residential - A 36/1257 ,07 Jun 2020 Sold ,27 Apr 2009 Sold $550k,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/16-huxley-st-west-ryde-nsw-2114-4070939,"16 Huxley St, West Ryde",4,3,2,208m2,742m2,$1.80M,$2.00M,House 1965 208m2 742m2 Residence Residential - A 7/35789 ,02 Jun 2020 Sold $1.96M,"18 Oct 2016 Listed for Rent $1,350 per week",21 Oct 2009 Sold $760k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1037-victoria-rd-west-ryde-nsw-2114-11987250,"1037 Victoria Rd, West Ryde",1,1,4,,177m2,$1.30M,$1.40M,House 1980 177m2 Residence Business - B B/387661 ,25 May 2020 Sold $575k,"11 Nov 2019 Listed for Sale $1,380,000",28 Jun 2011 Sold $300k,$250/w,$300/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/8-farnell-st-west-ryde-nsw-2114-12839096,"8 Farnell St, West Ryde",3,3,2,941m2,917m2,$1.50M,$1.60M,House 1981 941m2 917m2 Residential - A 11/DP28953 ,21 May 2020 Sold $750k,07 Dec 2018 Sold ,12 May 1981 Sold $93k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/57-marsden-rd-west-ryde-nsw-2114-12842111,"57 Marsden Rd, West Ryde",3,1,2,,1221m2,$1.50M,$1.60M,House 1978 1221m2 Residential - A 29/DP30562 ,14 May 2020 Sold $1.24M,21 Aug 2018 Listed for Sale Contact Agent,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/44-linton-ave-west-ryde-nsw-2114-13399745,"44 Linton Ave, West Ryde",4,3,1,,557m2,$1.50M,$1.60M,House 1987 557m2 Residential - A 84/DP8097 ,06 May 2020 Sold $1.34M,17 Mar 2020 Listed for Sale Contact Agent,09 Feb 1987 Sold $95k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/75-brush-rd-west-ryde-nsw-2114-12717337,"75 Brush Rd, West Ryde",3,1,1,104m2,1018m2,$1.60M,$1.80M,House 1960 104m2 1018m2 Residential - A 4/DP225274 ,04 May 2020 Sold ,19 Jul 2017 Sold $1.55M,17 Apr 1987 Sold $110k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/5a-murray-st-west-ryde-nsw-2114-12489099,"5a Murray St, West Ryde",4,2,2,221m2,696m2,$1.60M,$1.80M,House 1960 221m2 696m2 Residential - A 2/DP518183 ,01 May 2020 Sold $1.54M,04 Mar 2020 Listed for Sale SOLD | by the AGRE Team,26 Jun 1979 Sold $67k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1-66a-brush-rd-west-ryde-nsw-2114-12256339,"1/66a Brush Rd, West Ryde",3,2,2,,929m2,$1.00M,$1.10M,House 1960 929m2 Residential - A ,20 Apr 2020 Sold $1.00M,02 Aug 2013 Sold $688k,02 Aug 2013 Sold $688k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/45-bennett-st-west-ryde-nsw-2114-13147429,"45 Bennett St, West Ryde",3,2,2,,579m2,$1.50M,$1.60M,House 1985 579m2 Residential - A 38/12291 ,20 Apr 2020 Sold $1.43M,01 Oct 1985 Sold $93k,,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/11-wattle-st-west-ryde-nsw-2114-13537199,"11 Wattle St, West Ryde",3,1,2,,676m2,$1.60M,$1.80M,House 1980 676m2 Residential - A 6/DP9903 ,18 Apr 2020 Sold $1.61M,20 Aug 2019 Sold ,16 Sep 1986 Sold $118k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/17-maxim-st-west-ryde-nsw-2114-2330805,"17 Maxim St, West Ryde",4,2,4,175m2,1024m2,$1.80M,$2.00M,House 1925 175m2 1024m2 Residential - A 12/3646 ,01 Apr 2020 Sold $1,04 Feb 2015 Sold $1.62M,07 Sep 2006 Sold $800k,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/29-adelaide-st-west-ryde-nsw-2114-12988798,"29 Adelaide St, West Ryde",6,2,-,,604m2,$1.25M,$1.88M,House 1987 604m2 Residential - A 33/DP10400 ,30 Mar 2020 Sold ,05 Oct 2013 Rented $650,05 Oct 2012 Rented $650,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/7-lambert-st-west-ryde-nsw-2114-13239014,"7 Lambert St, West Ryde",4,2,2,,943m2,$1.50M,$1.60M,House 1981 943m2 Residential - A 25/DP28855 ,24 Mar 2020 Sold ,,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/24-mons-ave-west-ryde-nsw-2114-13217782,"24 Mons Ave, West Ryde",3,1,1,,382m2,$1.00M,$1.10M,House 1983 382m2 Residential - A ,17 Mar 2020 Sold $100k,04 Feb 2019 Sold ,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/16-murray-st-west-ryde-nsw-2114-4492854,"16 Murray St, West Ryde",3,2,1,,768m2,$2.00M,$2.20M,House 1992 768m2 Residence Residential - A 47/11086 ,15 Mar 2020 Sold ,07 Oct 2002 Sold $522k,21 May 1997 Sold $265k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/16-orchard-st-west-ryde-nsw-2114-13803343,"16 Orchard St, West Ryde",1,1,1,,448m2,$1.20M,$1.30M,House 1979 448m2 Residential - A 1/DP511298 ,14 Mar 2020 Sold $1.26M,20 Feb 2020 Listed for Sale SOLD BY ROBERT YOUNIS- 0402 995 597,23 Apr 2019 Sold $935k,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/22-bellevue-ave-west-ryde-nsw-2114-12627622,"22 Bellevue Ave, West Ryde",4,1,1,174m2,660m2,$1.40M,$1.50M,House 1950 174m2 660m2 Residential - A 256/DP325171 ,09 Mar 2020 Sold ,02 Nov 1983 Sold $126k,02 Nov 1983 Sold $126k,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/32-moss-st-west-ryde-nsw-2114-12281491,"32 Moss St, West Ryde",4,2,2,,636m2,$1.60M,$1.80M,House 1978 636m2 Residential - A 32/DP1257 ,07 Mar 2020 Sold $1.72M,12 Jun 2019 Sold $1.30M,,$350/w,$425/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/74a-falconer-st-west-ryde-nsw-2114-4748899,"74a Falconer St, West Ryde",3,2,1,,329m2,$1.40M,$1.50M,House 2000 329m2 Residential - A 1/868387 ,26 Mar 2020 Listed for Rent Deposit Taken,29 Feb 2020 Sold $1.41M,05 Feb 2020 Listed for Sale Auction today at 10.30am,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/39-melville-st-west-ryde-nsw-2114-13296311,"39 Melville St, West Ryde",7,3,2,109m2,689m2,$2.00M,$2.20M,House 1950 109m2 689m2 Residential - A 36/DP6582 ,27 Feb 2020 Sold $2.22M,14 Jun 2016 Sold $1.22M,06 Apr 2016 Listed for Sale Considering All Offers,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/29-bennett-st-west-ryde-nsw-2114-2144119,"29 Bennett St, West Ryde",3,2,3,112m2,600m2,$1.50M,$1.60M,House 1920 112m2 600m2 Residential - A 6/18183 ,20 Feb 2020 Sold ,30 Apr 2018 Sold $1.50M,11 May 2012 Rented $490,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/7-mahon-st-west-ryde-nsw-2114-2172206,"7 Mahon St, West Ryde",4,2,2,,588m2,$1.60M,$1.80M,House 1960 588m2 Residence Residential - A 16/35308 ,20 Feb 2020 Sold $1.80M,30 Jan 2009 Sold $880k,18 Jul 2005 Sold $542k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/85-anzac-ave-west-ryde-nsw-2114-3738893,"85 Anzac Ave, West Ryde",3,1,1,88m2,733m2,$1.80M,$2.00M,House 1920 88m2 733m2 Residence Residential - A 28/10102 ,20 Feb 2020 Sold $1.76M,25 Jan 2019 Listed for Sale SOLD - 10/01/20,09 Dec 2011 Sold $831k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/111-marsden-rd-west-ryde-nsw-2114-20894353,"111 Marsden Rd, West Ryde",-,-,-,,,$1.50M,$1.60M,House ,17 Feb 2020 Sold $350k,,,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/11-terry-rd-west-ryde-nsw-2114-2440865,"11 Terry Rd, West Ryde",2,1,1,,328m2,$1.10M,$1.20M,House 1980 328m2 Residence Residential - A 2/214049 ,15 Feb 2020 Sold $1.11M,02 Sep 2009 Sold $224k,05 Jun 2007 Sold $438k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/23-darwin-st-west-ryde-nsw-2114-12517139,"23 Darwin St, West Ryde",3,1,2,,1001m2,$2.00M,$2.20M,House 1980 1001m2 Residential - A ,12 Feb 2020 Sold $2.00M,04 Sep 1984 Sold $94k,04 Sep 1984 Sold $94k,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/86-parkes-st-west-ryde-nsw-2114-2549528,"86 Parkes St, West Ryde",5,2,3,,636m2,$1.60M,$1.80M,House 1997 636m2 Residential - A 42/8097 ,11 Feb 2020 Sold ,13 Mar 2007 Sold $900k,12 May 1997 Sold $245k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/6-bell-ave-west-ryde-nsw-2114-13707809,"6 Bell Ave, West Ryde",5,2,1,,1000m2,$1.80M,$2.00M,House 1950 1000m2 Residential - A 24/30394 ,24 Jan 2020 Sold $1.75M,19 Oct 2018 Listed for Sale Contact Agent,27 Apr 1987 Sold $121k,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/32-bennett-st-west-ryde-nsw-2114-12582763,"32 Bennett St, West Ryde",3,2,1,,626m2,$1.60M,$1.80M,House 1978 626m2 Residential - A 1/DP1257 ,20 Jan 2020 Sold $1.53M,,,$425/w,$500/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/34-adelaide-st-west-ryde-nsw-2114-13036639,"34 Adelaide St, West Ryde",4,3,2,350m2,1012m2,$2.40M,$2.60M,House 2000 350m2 1012m2 Residential - A 15/4516 ,18 Jan 2020 Sold $2.38M,12 Dec 2019 Listed for Sale Auction 18th January at 2.15pm (Unless Sold Prior),18 Nov 1998 Sold $370k,$850/w,$950/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/79--81-station-st-west-ryde-nsw-2114-13248638,"79-81 Station St, West Ryde",3,2,1,98m2,772m2,$1.60M,$1.80M,House 1960 98m2 772m2 Residential - A 1/20624 ,16 Jan 2020 Sold $1.61M,13 Dec 2004 Sold $593k,13 Dec 2004 Sold $593k,$750/w,$850/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/1-mahon-st-west-ryde-nsw-2114-13830370,"1 Mahon St, West Ryde",4,2,2,,502m2,$1.30M,$1.40M,House 1956 502m2 Residential - A 13/DP35308 ,16 Jan 2020 Sold ,,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/34-benson-st-west-ryde-nsw-2114-13098470,"34 Benson St, West Ryde",2,3,2,,740m2,$1.80M,$2.00M,House 1978 740m2 Residential - A 2/DP234263 ,14 Jan 2020 Sold ,,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/2-43-tramway-st-west-ryde-nsw-2114-20835275,"2/43 Tramway St, West Ryde",3,2,1,,,,,House ,21 Dec 2019 Sold $1.10M,16 Oct 2019 Listed for Sale SOLD BY NICK MATULIC 0403 037 529,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/12-hughes-st-west-ryde-nsw-2114-11465703,"12 Hughes St, West Ryde",4,2,1,1950m2,400m2,$1.50M,$1.60M,House 1940 1950m2 400m2 Residential - A 21/857004 ,14 Dec 2019 Sold $1.56M,"19 Nov 2019 Listed for Sale SOLD | for $1,560,000",03 Oct 2018 Listed for Rent $700 per week,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/6-moira-ave-west-ryde-nsw-2114-12865932,"6 Moira Ave, West Ryde",3,1,4,,765m2,$1.60M,$1.80M,House 1920 765m2 Residential - A 6/11086 ,14 Dec 2019 Sold $1.72M,05 Apr 2017 Sold $1.74M,12 Aug 1981 Sold $84k,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/880-victoria-rd-west-ryde-nsw-2114-4666529,"880 Victoria Rd, West Ryde",3,1,2,146m2,558m2,$1.50M,$1.60M,House 1928 146m2 558m2 Residence Residential - A 2/5160 ,14 Dec 2019 Sold $1.33M,"19 Nov 2019 Listed for Sale SOLD $1,325,000",23 May 2019 Listed for Rent Deposit taken,$575/w,$650/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/3-goodwin-st-west-ryde-nsw-2114-12599099,"3 Goodwin St, West Ryde",3,1,1,,623m2,$1.40M,$1.50M,House 1979 623m2 Residential - A 2/DP6582 ,11 Dec 2019 Sold ,,,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/57-bennett-st-west-ryde-nsw-2114-13278158,"57 Bennett St, West Ryde",4,2,1,274m2,714m2,$1.60M,$1.80M,House 1980 274m2 714m2 Residence Residential - A 44/12291 ,07 Dec 2019 Sold $609k,12 Jul 2012 Sold $780k,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/129-marsden-rd-west-ryde-nsw-2114-4748747,"129 Marsden Rd, West Ryde",4,1,2,131m2,676m2,$1.30M,$1.40M,House 1960 131m2 676m2 Residence Residential - A 12/218486 ,06 Dec 2019 Sold ,13 Nov 2014 Sold $933k,17 Dec 2007 Sold $625k,$500/w,$575/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/67-marsden-rd-west-ryde-nsw-2114-13994742,"67 Marsden Rd, West Ryde",4,2,2,200m2,486m2,$1.30M,$1.40M,House 2002 200m2 486m2 Residential - A 2/DP1039275 ,29 Nov 2019 Sold $1.27M,24 Oct 2017 Listed for Rent $600,,$650/w,$750/w
0,https://www.onthehouse.com.au/property/nsw/west-ryde-2114/24-clarke-st-west-ryde-nsw-2114-12510352,"24 Clarke St, West Ryde",4,2,2,,804m2,$1.60M,$1.80M,House 1979 804m2 Residential - A D/DP383703 ,25 Nov 2019 Sold ,,,$575/w,$650/w
