,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/10-pearce-rd-quakers-hill-nsw-2763-2420224,"10 Pearce Rd, Quakers Hill",3,1,1,,727m2,$700k,$750k,$350/w,$425/w,House 1980 727m2 Residential - A B/379588 ,23 Jul 2020 Sold $672k,"25 Jun 2020 Listed for Sale $672,000",01 May 2007 Sold $248k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/4-lea-st-quakers-hill-nsw-2763-4779166,"4 Lea St, Quakers Hill",4,1,1,126m2,587m2,$700k,$750k,$425/w,$500/w,House 1980 126m2 587m2 Residence Residential - A 66/248414 ,23 Jul 2020 Sold ,15 Nov 2012 Sold $434k,26 May 2000 Sold $237k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/9-preli-pl-quakers-hill-nsw-2763-13002826,"9 Preli Pl, Quakers Hill",4,2,1,,616m2,$800k,$900k,$500/w,$575/w,House 616m2 Residential - A 13/817645 ,21 Jul 2020 Sold $830k,08 Jul 2020 Listed for Sale Sold Prior | Jimmy Kang,17 Mar 2013 Sold 
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/89-greendale-tce-quakers-hill-nsw-2763-4438384,"89 Greendale Tce, Quakers Hill",4,2,2,,443m2,$750k,$800k,$500/w,$575/w,House 2001 443m2 Residence Residential - A 1208/DP1046795 ,21 Jul 2020 Sold $800k,"14 Jul 2020 Listed for Sale $800,000",03 Dec 2002 Sold $347k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/80-summerfield-ave-quakers-hill-nsw-2763-13465851,"80 Summerfield Ave, Quakers Hill",4,2,3,,555m2,$750k,$800k,$500/w,$575/w,House 1991 555m2 Residential - A 56/DP790245 ,20 Jul 2020 Sold $600k,09 Apr 1992 Sold $183k,06 Dec 1991 Sold $177k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/5b-ohio-pl-quakers-hill-nsw-2763-2128801,"5b Ohio Pl, Quakers Hill",3,1,2,151m2,311m2,$750k,$800k,$425/w,$500/w,House 2000 151m2 311m2 Residential - A 142/DP849032 ,20 Jul 2020 Sold ,21 Jun 2017 Sold $785k,"01 May 2017 Listed for Sale $785,000"
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/8-commisso-ct-quakers-hill-nsw-2763-2219324,"8 Commisso Ct, Quakers Hill",4,2,2,132m2,404m2,$800k,$900k,$500/w,$575/w,House 2000 132m2 404m2 Residential - A 14/1069061 ,20 Jul 2020 Sold $808k,08 Sep 2014 Sold $668k,22 Nov 2005 Sold $290k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/53-lovegrove-dr-quakers-hill-nsw-2763-2221506,"53 Lovegrove Dr, Quakers Hill",1,1,1,87m2,560m2,$700k,$750k,$425/w,$500/w,House 1975 87m2 560m2 Residence Residential - A 186/250237 ,17 Jul 2020 Sold $710k,16 Jun 2014 Sold $550k,19 Jan 2012 Sold $395k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/1-maidos-pl-quakers-hill-nsw-2763-5622310,"1 Maidos Pl, Quakers Hill",3,1,1,100m2,552m2,$750k,$800k,$425/w,$500/w,House 1980 100m2 552m2 Residence Residential - A 278/747555 ,17 Jul 2020 Sold $752k,13 Jul 2020 Listed for Sale UNDER CONTRACT,19 Aug 2009 Sold $340k
0,https://www.onthehouse.com.au/property/nsw/quakers-hill-2763/12-riley-pl-quakers-hill-nsw-2763-4779891,"12 Riley Pl, Quakers Hill",3,1,2,137m2,505m2,$700k,$750k,$350/w,$425/w,House 1990 137m2 505m2 Residential - A 11/258407 ,16 Jul 2020 Sold $480k,30 Jan 2019 Listed for Rent $375.,06 Feb 2001 Sold $228k
