,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/10-jennie-pl-carlingford-nsw-2118-13643974,"10 Jennie Pl, Carlingford",4,2,2,876m2,$1.40M,$1.50M,$650/w,$750/w,House 1980 876m2 Residential - A 92/DP252418 ,11 Sep 2020 Sold $1.47M,22 Jul 2020 Listed for Sale OPEN CANCELLED - UNDER OFFER,21 Feb 1980 Sold $96k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/57-brand-st-carlingford-nsw-2118-11163386,"57 Brand St, Carlingford",4,2,1,335m2,$1.10M,$1.20M,$650/w,$750/w,House 2010 162m2 335m2 Residence Residential - A 7382/1158535 ,01 Sep 2020 Sold $1.11M,26 Apr 2016 Sold $1.02M,08 Sep 2011 Sold $685k,162m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/98-arcadian-cct-carlingford-nsw-2118-13411161,"98 Arcadian Cct, Carlingford",3,1,2,701m2,$1.40M,$1.50M,$500/w,$575/w,House 1979 701m2 Residential - A 189/DP217193 ,31 Aug 2020 Sold $1.41M,19 Aug 2020 Listed for Sale Auction 12th September @11.15am(Unless Sold Prior),,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/107-marshall-rd-carlingford-nsw-2118-14192528,"107 Marshall Rd, Carlingford",3,1,1,607m2,$1.20M,$1.30M,$500/w,$575/w,House 1980 607m2 Residential - A 782/DP36743 ,31 Aug 2020 Sold $1.26M,09 Feb 2017 Sold $1.27M,06 Sep 2016 Sold $1.15M,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/16-homelands-ave-carlingford-nsw-2118-13464971,"16 Homelands Ave, Carlingford",4,2,1,480m2,$1.40M,$1.50M,$575/w,$650/w,House 1991 480m2 Residential - A 2/DP1193171 ,27 Aug 2020 Sold $1.01M,16 Oct 1991 Sold $226k,16 Oct 1991 Sold $226k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/18-mckillop-pl-carlingford-nsw-2118-14192410,"18 Mckillop Pl, Carlingford",3,1,1,708m2,$1.60M,$1.80M,$500/w,$575/w,House 1960 135m2 708m2 Residential - A 1640/214707 ,26 Aug 2020 Sold ,09 Jul 1999 Sold $288k,09 Jul 1999 Sold $288k,135m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/67-carmen-dr-carlingford-nsw-2118-19464554,"67 Carmen Dr, Carlingford",4,3,2,944m2,$1.50M,$1.60M,$650/w,$750/w,House 1994 944m2 Residential - A 6/DP237393 ,22 Aug 2020 Sold $1.66M,23 Dec 1994 Sold $326k,23 Dec 1994 Sold $326k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/10-murray-farm-rd-carlingford-nsw-2118-12965433,"10 Murray Farm Rd, Carlingford",5,3,2,3037m2,$2.40M,$2.60M,$650/w,$750/w,House 1980 3037m2 Residential - A 10/DP1047978 ,19 Aug 2020 Sold ,21 Jan 2020 Sold ,15 Jul 1980 Sold $109k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/13-mulyan-ave-carlingford-nsw-2118-12723264,"13 Mulyan Ave, Carlingford",5,3,3,995m2,$1.60M,$1.80M,$575/w,$650/w,House 1982 995m2 Residential - A 3/DP31829 ,17 Aug 2020 Sold ,,,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/69-balaka-dr-carlingford-nsw-2118-19418136,"69 Balaka Dr, Carlingford",5,3,2,722m2,$1.60M,$1.80M,$500/w,$575/w,House 1986 40m2 722m2 Residential - A 88/244575 ,17 Aug 2020 Sold $1.55M,28 Jan 2005 Sold $760k,28 Jan 2005 Sold $760k,40m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/91-balaka-dr-carlingford-nsw-2118-3762381,"91 Balaka Dr, Carlingford",4,2,2,695m2,$1.30M,$1.40M,$575/w,$650/w,House 1980 695m2 Residence Residential - A 46/239215 ,14 Sep 2020 Listed for Rent $650 p.w.,04 Sep 2020 Listed for Rent $650 pw,17 Aug 2020 Sold $1.42M,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/15-miamba-ave-carlingford-nsw-2118-2219398,"15 Miamba Ave, Carlingford",5,3,2,708m2,$1.50M,$1.60M,$650/w,$750/w,House 1980 708m2 Residential - A 124/259865 ,15 Aug 2020 Sold $1.45M,15 Jul 2020 Listed for Sale Proudly Sold by Daniel Jin,18 Nov 2005 Sold $681k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/24-baker-st-carlingford-nsw-2118-13265861,"24 Baker St, Carlingford",4,3,2,761m2,$1.20M,$1.30M,$500/w,$575/w,House 1990 761m2 Residential - A 8/DP22198 ,13 Aug 2020 Sold ,05 Mar 1990 Sold $265k,05 Mar 1990 Sold $265k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/702-pennant-hills-rd-carlingford-nsw-2118-13741095,"702 Pennant Hills Rd, Carlingford",5,3,2,1123m2,$1.40M,$1.50M,$350/w,$425/w,House 1960 213m2 1123m2 Residential - A 24/858979 ,13 Aug 2020 Sold ,15 Jan 2016 Sold $1.27M,06 Dec 1996 Sold $202k,213m2
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/1-dryden-ave-carlingford-nsw-2118-4352679,"1 Dryden Ave, Carlingford",5,3,2,930m2,$1.30M,$1.40M,$575/w,$650/w,House 1996 930m2 Residential - A 3/225370 ,13 Aug 2020 Sold ,26 Jun 2003 Sold $600k,05 Dec 1996 Sold $330k,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/2b-honiton-ave-carlingford-nsw-2118-20892826,"2b Honiton Ave, Carlingford",5,3,1,1128m2,$1.40M,$1.50M,$575/w,$650/w,House 1128m2 ,12 Aug 2020 Sold $1.15M,"26 Feb 2020 Listed for Sale Guide $1,550,000",,
0,https://www.onthehouse.com.au/property/nsw/carlingford-2118/14-rickard-st-carlingford-nsw-2118-13287404,"14 Rickard St, Carlingford",4,2,2,988m2,$1.60M,$1.80M,$575/w,$650/w,House 1994 988m2 Residential - A 2/219164 ,11 Aug 2020 Sold ,31 Jul 2020 Listed for Sale Pre-Auction,"01 Oct 2019 Listed for Sale For Sale $1,999,000",
