,Link,address,Bedrooms,Bathrooms,Car spaces,Floor area,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/47-eastwood-ave-eastwood-nsw-2122-4813837,"47 Eastwood Ave, Eastwood",4,2,2,,739m2,$1.80M,$2.00M,$750/w,$850/w,House 1999 739m2 Residential - A 1/531650 ,10 May 2018 Sold $1.97M,22 Mar 1999 Sold $465k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/11-third-ave-eastwood-nsw-2122-4985714,"11 Third Ave, Eastwood",3,2,1,150m2,1264m2,$3.00M,$3.25M,$750/w,$850/w,House 1910 150m2 1264m2 Residence Residential - A 109/4684 ,18 Feb 2019 Listed for Rent Deposit Taken,10 May 2018 Sold $4.00M,04 Sep 2009 Sold $1.05M
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/14c-balaclava-rd-eastwood-nsw-2122-5983734,"14c Balaclava Rd, Eastwood",6,3,2,110m2,692m2,$1.80M,$2.00M,$500/w,$575/w,House 1960 110m2 692m2 Residence Residential - A 2/DP614804 ,09 May 2018 Sold $1.75M,01 Dec 2014 Sold $1.44M,28 May 2010 Sold $715k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/14-midson-rd-eastwood-nsw-2122-13206055,"14 Midson Rd, Eastwood",4,2,2,,967m2,$1.80M,$2.00M,$575/w,$650/w,House 1920 967m2 Residential - A 183/DP8424 ,08 May 2018 Sold $1.70M,04 Aug 1989 Sold $239k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/218-north-rd-eastwood-nsw-2122-4346888,"218 North Rd, Eastwood",6,4,2,351m2,828m2,$2.60M,$2.80M,$575/w,$650/w,House 2013 351m2 828m2 Residence Residential - A 3/410721 ,08 May 2018 Sold $2.30M,14 Jan 2016 Sold $2.20M,12 Dec 2011 Sold $721k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/18-epping-ave-eastwood-nsw-2122-13566212,"18 Epping Ave, Eastwood",3,2,1,126m2,923m2,$1.80M,$2.00M,$575/w,$650/w,House 1950 126m2 923m2 Residential - A 115/8424 ,07 May 2018 Sold $2.35M,24 Jun 2013 Sold $1.21M,01 Jul 1986 Sold $70k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/39-irene-cres-eastwood-nsw-2122-4354956,"39 Irene Cres, Eastwood",2,2,1,,671m2,$1.40M,$1.50M,$500/w,$575/w,House 1990 671m2 Residence Residential - A 46/35226 ,06 May 2018 Sold ,09 Sep 2003 Sold $645k,11 Apr 1990 Sold $185k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/1-170--172-shaftsbury-rd-eastwood-nsw-2122-20530630,"1/170-172 Shaftsbury Rd, Eastwood",-,-,-,,,$1.30M,$1.40M,$575/w,$650/w,House ,05 May 2018 Sold $1.50M,,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/16-sybil-st-eastwood-nsw-2122-2550227,"16 Sybil St, Eastwood",3,1,1,128m2,626m2,$1.54M,$1.88M,,,House 1970 128m2 626m2 Residential - A 2/222545 ,05 May 2018 Sold $1.70M,25 Jan 2008 Sold $737k,07 Mar 1995 Sold $250k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/25-clanwilliam-st-eastwood-nsw-2122-12408174,"25 Clanwilliam St, Eastwood",5,3,2,,892m2,$2.20M,$2.40M,$750/w,$850/w,House 1987 892m2 Residential - A 24/DP4789 ,04 May 2018 Sold $2.30M,12 Apr 2018 Sold ,14 Feb 2018 Listed for Sale For Sale
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/19-central-ave-eastwood-nsw-2122-12948495,"19 Central Ave, Eastwood",4,2,2,174m2,910m2,$2.60M,$2.80M,$350/w,$425/w,House 1920 174m2 910m2 Residential - A 97/DP8424 ,30 Apr 2018 Sold $2.62M,21 Feb 2018 Listed for Sale Auction 17/3/18 at 9am On site,23 Apr 1987 Sold $151k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/26-o-keefe-cres-eastwood-nsw-2122-13359670,"26 O'Keefe Cres, Eastwood",2,1,1,338m2,708m2,$2.00M,$2.20M,$575/w,$650/w,House 2016 338m2 708m2 Residential - A 50/12989 ,27 Apr 2018 Sold $2.95M,13 Feb 2017 Sold $1.74M,26 Oct 2016 Listed for Sale Auction 12/11/16 at 9.00am On site
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/8-acacia-st-eastwood-nsw-2122-2310003,"8 Acacia St, Eastwood",3,1,3,97m2,714m2,$1.60M,$1.80M,$575/w,$650/w,House 1950 97m2 714m2 Residence Residential - A 49/17583 ,27 Apr 2018 Sold ,23 Jun 2006 Sold $642k,02 Apr 2003 Sold $602k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/12a-darvall-rd-eastwood-nsw-2122-4982703,"12a Darvall Rd, Eastwood",3,1,1,,1252m2,$2.01M,$3.01M,,,House 1910 1252m2 Residence Residential - A B/DP972117 ,27 Apr 2018 Sold $2.90M,04 Dec 2009 Sold $970k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/35-irene-cres-eastwood-nsw-2122-13480014,"35 Irene Cres, Eastwood",2,1,1,,664m2,$2.20M,$2.40M,$425/w,$500/w,House 1980 664m2 Residential - A 48/35226 ,26 Apr 2018 Sold $1.41M,17 Apr 2018 Listed for Rent $480,29 Jan 2018 Listed for Sale Auction
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/4-acacia-st-eastwood-nsw-2122-13171179,"4 Acacia St, Eastwood",3,2,1,172m2,720m2,$1.80M,$2.00M,$650/w,$750/w,House 1930 172m2 720m2 Residential - A 47/DP17583 ,23 Apr 2018 Sold $1.85M,09 Feb 2015 Sold $625k,11 Feb 1989 Sold $105k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/200-shaftsbury-rd-eastwood-nsw-2122-2227812,"200 Shaftsbury Rd, Eastwood",3,2,2,153m2,809m2,$1.80M,$2.00M,$650/w,$750/w,House 1920 153m2 809m2 Residential - A 29/11568 ,23 Apr 2018 Sold $1.69M,06 Dec 2005 Sold $671k,20 Dec 1993 Sold $228k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/15-tarrants-ave-eastwood-nsw-2122-12900651,"15 Tarrants Ave, Eastwood",5,3,2,267m2,696m2,$1.80M,$2.00M,$750/w,$850/w,House 1925 267m2 696m2 Residential - A 36/DP14296 ,18 Apr 2018 Sold $1.85M,"11 Oct 2017 Listed for Sale For Sale $1,880,000",28 Sep 1979 Sold $74k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/4-17-gordon-st-eastwood-nsw-2122-4883992,"4/17 Gordon St, Eastwood",3,2,1,126m2,1349m2,$1.10M,$1.20M,$575/w,$650/w,House 1989 126m2 1349m2 Residential - A 4/SP36440 ,13 Nov 2018 Listed for Rent $690,13 Apr 2018 Sold $1.21M,12 Apr 2018 Listed for Rent $690
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/12-lexington-ave-eastwood-nsw-2122-13776038,"12 Lexington Ave, Eastwood",4,3,1,,688m2,$1.50M,$1.60M,$500/w,$575/w,House 1978 688m2 Residential - A 98/DP9950 ,12 Apr 2018 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/1-desmond-st-eastwood-nsw-2122-5901013,"1 Desmond St, Eastwood",5,4,2,,450m2,$2.00M,$2.20M,$850/w,$950/w,House 1982 450m2 Residence Residential - A 6/35375 ,11 Apr 2018 Sold $2.06M,"14 Feb 2018 Listed for Sale Sold $2,060,000",25 Nov 2014 Sold $490k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/77-rutledge-st-eastwood-nsw-2122-14808416,"77 Rutledge St, Eastwood",4,2,2,,9959m2,$1.47M,$2.20M,,,House 1978 9959m2 Residential - A 758/DP752035 ,09 Apr 2018 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/34-clanalpine-st-eastwood-nsw-2122-2070740,"34 Clanalpine St, Eastwood",6,3,3,,1012m2,$2.80M,$3.00M,$750/w,$850/w,House 1913 1012m2 Residential - A 2/5132 ,05 Apr 2018 Sold $3.45M,05 Oct 2017 Sold $3.45M,03 Jul 2017 Listed for Sale Sold
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/6-harley-cres-eastwood-nsw-2122-12779747,"6 Harley Cres, Eastwood",4,2,2,139m2,658m2,$1.80M,$2.00M,$750/w,$850/w,House 1970 139m2 658m2 Residential - A 10/DP230297 ,03 Apr 2018 Sold $1.62M,17 Jan 2018 Listed for Sale Auction 10/2/18 at 9am On site,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/2-richards-ave-eastwood-nsw-2122-13205791,"2 Richards Ave, Eastwood",4,3,2,,569m2,$1.50M,$1.60M,$500/w,$575/w,House 1995 569m2 Residential - A 3/202110 ,01 Apr 2018 Sold ,15 Dec 1995 Sold $318k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/7-tarrants-ave-eastwood-nsw-2122-12709504,"7 Tarrants Ave, Eastwood",4,2,1,,746m2,$1.80M,$2.00M,$350/w,$425/w,House 1979 746m2 Residential - A 40/14296 ,26 Mar 2018 Sold $1.85M,02 May 1995 Sold $346k,29 May 1992 Sold $258k
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/152-north-rd-eastwood-nsw-2122-13389025,"152 North Rd, Eastwood",3,1,1,116m2,695m2,$1.60M,$1.80M,$500/w,$575/w,House 1940 116m2 695m2 Residential - A 45/DP17583 ,26 Mar 2018 Sold $2.05M,24 Nov 2017 Listed for Sale Auction Price Guide $1.8M-$1.98M,01 Jul 2016 Rented $500
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/583-blaxland-rd-eastwood-nsw-2122-12468352,"583 Blaxland Rd, Eastwood",5,1,3,,1220m2,$2.80M,$3.00M,$650/w,$750/w,House 1980 1220m2 Residential - A ,05 Jul 2018 Listed for Rent $750,20 Mar 2018 Sold $3.50M,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/36-harley-cres-eastwood-nsw-2122-12350664,"36 Harley Cres, Eastwood",5,3,3,,926m2,$1.80M,$2.00M,$575/w,$650/w,House 1974 926m2 Residential - A 2/DP785483 ,16 Mar 2018 Sold ,,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/18-vimiera-rd-eastwood-nsw-2122-12522033,"18 Vimiera Rd, Eastwood",3,1,2,,1003m2,$1.80M,$2.00M,$425/w,$500/w,House 1980 1003m2 Residential - A 100/DP732397 ,13 Mar 2018 Sold $1.86M,05 Mar 1986 Sold $40k,
0,https://www.onthehouse.com.au/property/nsw/eastwood-2122/6-fourth-ave-eastwood-nsw-2122-12372425,"6 Fourth Ave, Eastwood",4,2,2,228m2,1011m2,$2.00M,$2.20M,$750/w,$850/w,House 1960 228m2 1011m2 Residential - A 130/4684 ,11 Mar 2018 Sold ,04 Oct 2013 Sold $1.42M,
