,Link,address,Bedrooms,Bathrooms,Car spaces,Land area,sell_low,sell_high,rent_low,rent_high,year_type,Sold_History1,Sold_History2,Sold_History3,Floor area
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/29-woodvale-ave-north-epping-nsw-2121-4417951,"29 Woodvale Ave, North Epping",4,2,1,1158m2,$1.60M,$1.80M,$500/w,$575/w,House 1980 1158m2 Residence Residential - A 2/1047776 ,28 Mar 2003 Sold $525k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/11-bedford-rd-north-epping-nsw-2121-4419307,"11 Bedford Rd, North Epping",3,1,2,809m2,$1.40M,$1.50M,$575/w,$650/w,House 1962 117m2 809m2 Residence Residential - A 6/28412 ,18 Nov 1983 Sold $69k,,,117m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/248-malton-rd-north-epping-nsw-2121-4424234,"248 Malton Rd, North Epping",4,2,2,584m2,$1.40M,$1.50M,$650/w,$750/w,House 1994 584m2 Residence Residential - A 10/852597 ,10 Mar 2003 Sold $735k,13 Oct 1995 Sold $178k,14 Oct 1994 Sold $383k,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/15-devon-st-north-epping-nsw-2121-4427151,"15 Devon St, North Epping",3,1,1,816m2,$1.30M,$1.40M,$575/w,$650/w,House 1965 95m2 816m2 Residence Residential - A 8/24610 ,28 Feb 2003 Sold $560k,17 Dec 1993 Sold $232k,12 Apr 1984 Sold $81k,95m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/18-kirkwood-ave-north-epping-nsw-2121-4431995,"18 Kirkwood Ave, North Epping",3,1,2,696m2,$1.30M,$1.40M,$500/w,$575/w,House 1980 696m2 Residence Residential - A 13/29866 ,,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/27-holland-st-north-epping-nsw-2121-4438211,"27 Holland St, North Epping",4,3,1,721m2,$1.60M,$1.80M,$650/w,$750/w,House 1970 271m2 721m2 Residence Residential - A 23/30226 ,02 Mar 1990 Sold $243k,31 Oct 1978 Sold $55k,,271m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/8-merle-st-north-epping-nsw-2121-4441925,"8 Merle St, North Epping",4,3,2,772m2,$1.60M,$1.80M,$500/w,$575/w,House 1980 772m2 Residence Residential - A 10/245668 ,10 Jan 2003 Sold $776k,17 Apr 1980 Sold $167k,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/7-waterloo-rd-north-epping-nsw-2121-4453988,"7 Waterloo Rd, North Epping",3,1,1,740m2,$1.30M,$1.40M,$575/w,$650/w,House 2002 740m2 Residence Residential - A 17A/25756 ,03 Dec 2002 Sold $542k,,,
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/214-malton-rd-north-epping-nsw-2121-4457665,"214 Malton Rd, North Epping",4,2,2,854m2,$1.80M,$2.00M,$650/w,$750/w,House 1920 309m2 854m2 Residence Residential - A 2/442496 ,01 Nov 2002 Sold $600k,,,309m2
0,https://www.onthehouse.com.au/property/nsw/north-epping-2121/274-malton-rd-north-epping-nsw-2121-4458009,"274 Malton Rd, North Epping",5,6,4,505m2,$1.80M,$2.00M,$850/w,$950/w,House 2009 205m2 505m2 Residence Residential - A 102/773463 ,26 Oct 2002 Sold $1.01M,,,205m2
